Iterations,Avg_StackingTime, Manpower, Forklifts, Avg_StackingTime_At_Gate,Avg_StackingTime_At_Inbound, Avg_StackingTime_At_Outbound,,
63.00 ,119.14 ,414.00 ,178.00 ,28.71 ,64.16 ,26.27 ,0.87 ,
64.00 ,117.45 ,413.00 ,178.00 ,28.72 ,68.70 ,20.02 ,0.11 ,
65.00 ,103.06 ,413.00 ,178.00 ,29.69 ,52.77 ,20.59 ,0.47 ,
66.00 ,113.95 ,408.00 ,175.00 ,28.43 ,64.27 ,21.25 ,0.69 ,
67.00 ,144.90 ,405.00 ,176.00 ,28.71 ,49.80 ,66.39 ,0.73 ,
68.00 ,107.07 ,405.00 ,175.00 ,28.70 ,56.63 ,21.74 ,0.30 ,
69.00 ,119.09 ,403.00 ,176.00 ,28.86 ,66.95 ,23.29 ,0.27 ,
70.00 ,163.43 ,404.00 ,176.00 ,28.73 ,73.56 ,61.14 ,0.29 ,
71.00 ,104.05 ,404.00 ,177.00 ,28.73 ,52.79 ,22.53 ,0.17 ,
72.00 ,124.96 ,399.00 ,179.00 ,30.03 ,71.11 ,23.82 ,0.76 ,
73.00 ,133.18 ,396.00 ,177.00 ,30.18 ,48.45 ,54.55 ,0.89 ,
74.00 ,117.02 ,389.00 ,176.00 ,29.27 ,63.04 ,24.71 ,1.00 ,
75.00 ,117.52 ,382.00 ,172.00 ,29.28 ,67.11 ,21.13 ,0.97 ,
76.00 ,116.87 ,382.00 ,172.00 ,30.30 ,64.68 ,21.89 ,0.14 ,
77.00 ,119.70 ,381.00 ,171.00 ,29.18 ,65.32 ,25.20 ,0.28 ,
78.00 ,106.94 ,378.00 ,169.00 ,29.26 ,53.82 ,23.86 ,0.73 ,
79.00 ,132.77 ,377.00 ,169.00 ,28.95 ,82.39 ,21.43 ,0.60 ,
80.00 ,160.05 ,371.00 ,167.00 ,28.65 ,65.59 ,65.82 ,0.64 ,
81.00 ,117.15 ,374.00 ,165.00 ,29.02 ,64.78 ,23.35 ,0.99 ,
82.00 ,105.61 ,372.00 ,163.00 ,29.00 ,57.31 ,19.30 ,0.69 ,
83.00 ,109.99 ,371.00 ,163.00 ,28.65 ,60.55 ,20.79 ,0.34 ,
84.00 ,98.76 ,369.00 ,163.00 ,28.54 ,49.22 ,20.99 ,0.33 ,
