Iterations,Avg_StackingTime, Manpower, Forklifts, Avg_StackingTime_At_Gate,Avg_StackingTime_At_Inbound, Avg_StackingTime_At_Outbound,,
3168.00 ,172.33 ,139.00 ,58.00 ,30.50 ,66.78 ,75.05 ,0.89 ,
3169.00 ,131.87 ,139.00 ,59.00 ,30.65 ,65.73 ,35.49 ,0.55 ,
3170.00 ,128.30 ,139.00 ,58.00 ,30.65 ,72.98 ,24.67 ,0.54 ,
3171.00 ,174.53 ,139.00 ,59.00 ,30.61 ,69.53 ,74.40 ,0.19 ,
3172.00 ,158.05 ,139.00 ,58.00 ,30.67 ,55.88 ,71.50 ,0.93 ,
3173.00 ,126.27 ,140.00 ,59.00 ,30.68 ,69.20 ,26.39 ,0.32 ,
3174.00 ,134.81 ,141.00 ,58.00 ,30.65 ,70.28 ,33.88 ,0.47 ,
3175.00 ,157.88 ,141.00 ,58.00 ,30.45 ,64.25 ,63.19 ,0.61 ,
3176.00 ,120.92 ,140.00 ,58.00 ,31.63 ,65.61 ,23.68 ,0.42 ,
3177.00 ,133.64 ,139.00 ,58.00 ,31.55 ,74.34 ,27.76 ,0.35 ,
3178.00 ,170.62 ,139.00 ,59.00 ,31.61 ,78.10 ,60.90 ,0.30 ,
3179.00 ,129.40 ,139.00 ,58.00 ,31.62 ,69.85 ,27.94 ,0.18 ,
3180.00 ,130.79 ,139.00 ,59.00 ,31.57 ,67.75 ,31.46 ,0.22 ,
3181.00 ,119.92 ,141.00 ,58.00 ,31.62 ,62.37 ,25.93 ,0.57 ,
3182.00 ,147.95 ,140.00 ,58.00 ,31.64 ,64.17 ,52.14 ,0.76 ,
3183.00 ,170.86 ,141.00 ,58.00 ,31.62 ,76.46 ,62.78 ,0.51 ,
3184.00 ,120.59 ,141.00 ,58.00 ,31.68 ,62.02 ,26.89 ,0.89 ,
3185.00 ,122.26 ,141.00 ,58.00 ,31.66 ,65.97 ,24.63 ,0.51 ,
3186.00 ,125.64 ,141.00 ,58.00 ,31.65 ,67.66 ,26.33 ,0.17 ,
3187.00 ,127.38 ,142.00 ,58.00 ,31.77 ,66.68 ,28.93 ,0.59 ,
3188.00 ,123.04 ,142.00 ,58.00 ,31.83 ,62.74 ,28.47 ,0.41 ,
3189.00 ,136.21 ,141.00 ,58.00 ,31.48 ,75.68 ,29.05 ,0.61 ,
3190.00 ,121.96 ,141.00 ,58.00 ,31.65 ,62.09 ,28.21 ,0.96 ,
3191.00 ,159.61 ,140.00 ,58.00 ,31.67 ,52.47 ,75.47 ,0.17 ,
3192.00 ,129.70 ,140.00 ,58.00 ,31.63 ,64.97 ,33.10 ,0.22 ,
3193.00 ,144.23 ,140.00 ,58.00 ,30.53 ,77.44 ,36.26 ,0.67 ,
3194.00 ,116.68 ,140.00 ,58.00 ,31.75 ,60.20 ,24.73 ,0.36 ,
3195.00 ,123.02 ,140.00 ,58.00 ,31.82 ,62.97 ,28.23 ,0.50 ,
3196.00 ,131.54 ,140.00 ,58.00 ,31.81 ,75.31 ,24.42 ,0.51 ,
3197.00 ,137.24 ,141.00 ,58.00 ,31.79 ,70.43 ,35.01 ,0.61 ,
3198.00 ,121.60 ,140.00 ,58.00 ,31.81 ,63.25 ,26.54 ,0.62 ,
3199.00 ,124.34 ,139.00 ,58.00 ,30.77 ,66.15 ,27.42 ,0.83 ,
3200.00 ,138.32 ,140.00 ,57.00 ,30.80 ,81.37 ,26.15 ,0.95 ,
3201.00 ,113.45 ,140.00 ,57.00 ,30.96 ,58.38 ,24.12 ,0.35 ,
3202.00 ,163.20 ,139.00 ,57.00 ,30.96 ,64.56 ,67.68 ,0.36 ,
3203.00 ,125.78 ,140.00 ,58.00 ,31.67 ,70.27 ,23.84 ,0.87 ,
3204.00 ,129.70 ,140.00 ,58.00 ,31.79 ,70.59 ,27.33 ,0.18 ,
3205.00 ,122.04 ,141.00 ,58.00 ,30.79 ,65.69 ,25.56 ,0.26 ,
3206.00 ,143.96 ,139.00 ,58.00 ,30.63 ,61.49 ,51.84 ,0.28 ,
3207.00 ,119.23 ,138.00 ,57.00 ,30.69 ,59.04 ,29.51 ,0.63 ,
3208.00 ,129.22 ,139.00 ,57.00 ,30.55 ,72.15 ,26.52 ,0.14 ,
3209.00 ,122.63 ,139.00 ,58.00 ,30.65 ,67.14 ,24.85 ,0.19 ,
3210.00 ,148.04 ,138.00 ,57.00 ,30.65 ,55.88 ,61.52 ,0.54 ,
3211.00 ,122.16 ,138.00 ,57.00 ,30.66 ,63.88 ,27.63 ,0.18 ,
3212.00 ,116.37 ,138.00 ,57.00 ,30.64 ,60.04 ,25.69 ,0.31 ,
3213.00 ,113.65 ,139.00 ,57.00 ,31.22 ,57.90 ,24.53 ,0.69 ,
3214.00 ,126.04 ,140.00 ,57.00 ,31.21 ,68.96 ,25.86 ,0.14 ,
3215.00 ,118.93 ,139.00 ,57.00 ,31.88 ,64.64 ,22.41 ,0.66 ,
3216.00 ,160.28 ,139.00 ,58.00 ,31.67 ,66.38 ,62.22 ,0.46 ,
3217.00 ,135.90 ,139.00 ,57.00 ,31.75 ,75.72 ,28.43 ,0.35 ,
3218.00 ,123.47 ,139.00 ,58.00 ,31.79 ,69.54 ,22.14 ,0.80 ,
3219.00 ,133.39 ,139.00 ,58.00 ,31.85 ,73.31 ,28.23 ,0.32 ,
3220.00 ,114.73 ,139.00 ,58.00 ,31.80 ,55.95 ,26.97 ,0.38 ,
3221.00 ,170.18 ,139.00 ,58.00 ,31.81 ,60.11 ,78.27 ,0.58 ,
3222.00 ,132.65 ,139.00 ,57.00 ,31.83 ,71.12 ,29.71 ,0.43 ,
3223.00 ,119.89 ,139.00 ,57.00 ,31.87 ,63.34 ,24.68 ,0.70 ,
3224.00 ,129.76 ,140.00 ,57.00 ,31.35 ,68.94 ,29.47 ,0.84 ,
3225.00 ,121.81 ,140.00 ,57.00 ,32.33 ,62.65 ,26.83 ,0.05 ,
3226.00 ,114.17 ,140.00 ,57.00 ,32.35 ,60.35 ,21.48 ,0.35 ,
3227.00 ,121.98 ,139.00 ,57.00 ,30.92 ,65.31 ,25.75 ,0.78 ,
3228.00 ,125.75 ,138.00 ,57.00 ,31.94 ,66.61 ,27.20 ,0.25 ,
3229.00 ,163.00 ,138.00 ,57.00 ,31.93 ,65.45 ,65.62 ,0.26 ,
3230.00 ,124.82 ,138.00 ,57.00 ,31.85 ,66.83 ,26.14 ,0.49 ,
3231.00 ,120.01 ,138.00 ,58.00 ,30.91 ,57.56 ,31.54 ,0.68 ,
3232.00 ,128.94 ,138.00 ,57.00 ,31.17 ,72.22 ,25.55 ,0.26 ,
3233.00 ,116.28 ,139.00 ,57.00 ,31.17 ,60.64 ,24.47 ,0.41 ,
3234.00 ,117.10 ,139.00 ,57.00 ,31.01 ,60.50 ,25.59 ,0.93 ,
3235.00 ,126.21 ,138.00 ,57.00 ,31.04 ,69.82 ,25.35 ,0.39 ,
3236.00 ,168.01 ,139.00 ,57.00 ,31.06 ,74.57 ,62.38 ,0.75 ,
3237.00 ,129.37 ,140.00 ,57.00 ,31.03 ,66.54 ,31.80 ,0.44 ,
3238.00 ,120.29 ,140.00 ,57.00 ,31.04 ,68.20 ,21.05 ,0.23 ,
3239.00 ,113.13 ,139.00 ,57.00 ,31.02 ,55.34 ,26.76 ,0.03 ,
3240.00 ,127.85 ,139.00 ,57.00 ,31.10 ,68.37 ,28.38 ,0.68 ,
3241.00 ,138.70 ,139.00 ,57.00 ,31.21 ,77.84 ,29.65 ,0.58 ,
3242.00 ,122.02 ,139.00 ,57.00 ,31.29 ,63.19 ,27.54 ,0.16 ,
3243.00 ,134.41 ,139.00 ,57.00 ,31.10 ,70.41 ,32.90 ,0.89 ,
3244.00 ,154.53 ,138.00 ,57.00 ,31.08 ,61.43 ,62.02 ,0.47 ,
3245.00 ,152.20 ,139.00 ,57.00 ,31.14 ,67.98 ,53.09 ,0.45 ,
3246.00 ,128.74 ,138.00 ,57.00 ,30.82 ,70.92 ,27.00 ,0.94 ,
3247.00 ,118.23 ,138.00 ,57.00 ,30.94 ,67.17 ,20.12 ,0.80 ,
3248.00 ,131.25 ,138.00 ,57.00 ,30.87 ,66.72 ,33.66 ,0.82 ,
3249.00 ,122.99 ,137.00 ,57.00 ,30.89 ,64.14 ,27.96 ,0.29 ,
3250.00 ,123.12 ,138.00 ,57.00 ,30.89 ,62.13 ,30.11 ,0.37 ,
3251.00 ,164.44 ,138.00 ,56.00 ,31.02 ,76.91 ,56.51 ,0.22 ,
3252.00 ,136.93 ,138.00 ,57.00 ,31.02 ,76.43 ,29.48 ,1.00 ,
3253.00 ,152.37 ,138.00 ,57.00 ,31.04 ,58.00 ,63.33 ,0.30 ,
3254.00 ,157.68 ,139.00 ,57.00 ,30.99 ,62.44 ,64.24 ,0.51 ,
3255.00 ,126.59 ,139.00 ,57.00 ,31.01 ,64.64 ,30.93 ,0.07 ,
3256.00 ,135.28 ,139.00 ,57.00 ,31.16 ,75.19 ,28.94 ,0.50 ,
3257.00 ,128.46 ,138.00 ,57.00 ,31.14 ,63.23 ,34.09 ,0.19 ,
3258.00 ,133.90 ,138.00 ,57.00 ,30.97 ,73.17 ,29.76 ,0.56 ,
3259.00 ,156.17 ,138.00 ,57.00 ,31.11 ,61.42 ,63.63 ,0.37 ,
3260.00 ,117.82 ,138.00 ,57.00 ,30.98 ,59.86 ,26.98 ,0.42 ,
3261.00 ,136.51 ,138.00 ,57.00 ,30.94 ,75.81 ,29.76 ,0.10 ,
3262.00 ,135.29 ,138.00 ,57.00 ,30.97 ,76.32 ,27.99 ,0.28 ,
3263.00 ,124.76 ,138.00 ,57.00 ,30.90 ,64.10 ,29.76 ,0.33 ,
3264.00 ,123.61 ,138.00 ,57.00 ,30.95 ,58.66 ,34.01 ,0.04 ,
3265.00 ,126.61 ,139.00 ,57.00 ,31.05 ,65.94 ,29.62 ,0.56 ,
3266.00 ,167.79 ,138.00 ,57.00 ,31.19 ,70.64 ,65.96 ,0.55 ,
3267.00 ,162.54 ,139.00 ,57.00 ,31.15 ,56.65 ,74.74 ,0.36 ,
3268.00 ,120.81 ,139.00 ,57.00 ,31.25 ,55.49 ,34.06 ,0.59 ,
3269.00 ,125.37 ,137.00 ,58.00 ,31.19 ,62.18 ,31.99 ,0.61 ,
3270.00 ,131.43 ,137.00 ,58.00 ,31.26 ,68.21 ,31.96 ,0.31 ,
3271.00 ,127.10 ,138.00 ,58.00 ,31.23 ,62.48 ,33.39 ,0.70 ,
3272.00 ,120.63 ,137.00 ,58.00 ,30.67 ,61.84 ,28.12 ,0.62 ,
3273.00 ,99.17 ,138.00 ,57.00 ,30.67 ,44.78 ,23.72 ,0.59 ,
3274.00 ,124.84 ,138.00 ,58.00 ,30.69 ,68.85 ,25.30 ,0.42 ,
3275.00 ,136.42 ,137.00 ,57.00 ,30.75 ,70.30 ,35.37 ,0.91 ,
3276.00 ,121.79 ,139.00 ,58.00 ,30.68 ,66.07 ,25.04 ,0.77 ,
3277.00 ,137.98 ,139.00 ,58.00 ,30.69 ,53.74 ,53.55 ,0.78 ,
3278.00 ,156.81 ,139.00 ,58.00 ,30.70 ,64.47 ,61.64 ,0.87 ,
3279.00 ,171.46 ,139.00 ,58.00 ,30.54 ,66.14 ,74.78 ,0.31 ,
3280.00 ,188.86 ,140.00 ,58.00 ,30.56 ,81.92 ,76.38 ,0.71 ,
3281.00 ,121.99 ,140.00 ,59.00 ,30.61 ,68.79 ,22.59 ,0.38 ,
3282.00 ,112.38 ,140.00 ,59.00 ,30.59 ,58.73 ,23.06 ,0.18 ,
3283.00 ,113.16 ,139.00 ,59.00 ,30.37 ,57.14 ,25.66 ,1.00 ,
3284.00 ,130.94 ,139.00 ,58.00 ,30.36 ,74.39 ,26.19 ,0.53 ,
3285.00 ,113.47 ,139.00 ,58.00 ,30.24 ,61.41 ,21.83 ,0.27 ,
3286.00 ,126.54 ,139.00 ,58.00 ,30.20 ,69.45 ,26.89 ,0.04 ,
3287.00 ,121.43 ,139.00 ,59.00 ,30.63 ,69.27 ,21.54 ,0.59 ,
3288.00 ,117.14 ,139.00 ,59.00 ,30.59 ,60.61 ,25.94 ,0.12 ,
3289.00 ,168.69 ,139.00 ,58.00 ,30.45 ,70.73 ,67.51 ,0.29 ,
3290.00 ,168.51 ,139.00 ,58.00 ,30.53 ,78.57 ,59.41 ,0.83 ,
3291.00 ,127.04 ,140.00 ,58.00 ,30.35 ,69.52 ,27.17 ,0.35 ,
3292.00 ,165.83 ,138.00 ,58.00 ,30.35 ,68.35 ,67.12 ,0.85 ,
3293.00 ,126.23 ,138.00 ,58.00 ,30.39 ,72.76 ,23.08 ,0.59 ,
3294.00 ,122.89 ,137.00 ,58.00 ,30.42 ,63.83 ,28.63 ,0.22 ,
3295.00 ,129.58 ,137.00 ,58.00 ,30.54 ,77.07 ,21.98 ,0.51 ,
3296.00 ,117.73 ,137.00 ,58.00 ,30.42 ,63.98 ,23.32 ,0.27 ,
3297.00 ,131.00 ,138.00 ,58.00 ,30.53 ,76.26 ,24.20 ,0.22 ,
3298.00 ,99.27 ,138.00 ,58.00 ,30.54 ,48.94 ,19.79 ,0.84 ,
3299.00 ,130.86 ,137.00 ,57.00 ,30.46 ,75.24 ,25.16 ,0.27 ,
3300.00 ,125.48 ,137.00 ,57.00 ,30.25 ,63.99 ,31.24 ,0.59 ,
3301.00 ,107.95 ,137.00 ,57.00 ,30.35 ,58.23 ,19.37 ,0.09 ,
3302.00 ,122.03 ,137.00 ,57.00 ,30.70 ,67.98 ,23.35 ,0.41 ,
3303.00 ,129.52 ,137.00 ,57.00 ,30.77 ,72.14 ,26.61 ,0.33 ,
3304.00 ,124.05 ,137.00 ,57.00 ,31.84 ,67.45 ,24.76 ,0.70 ,
3305.00 ,157.81 ,137.00 ,57.00 ,31.85 ,71.42 ,54.54 ,0.18 ,
3306.00 ,133.65 ,137.00 ,57.00 ,31.63 ,64.67 ,37.35 ,0.81 ,
3307.00 ,161.58 ,137.00 ,58.00 ,31.74 ,57.89 ,71.95 ,0.20 ,
3308.00 ,143.31 ,137.00 ,58.00 ,31.75 ,88.19 ,23.36 ,0.85 ,
3309.00 ,110.88 ,135.00 ,58.00 ,31.56 ,53.78 ,25.54 ,1.00 ,
3310.00 ,144.02 ,136.00 ,58.00 ,31.42 ,86.00 ,26.59 ,0.77 ,
3311.00 ,121.39 ,136.00 ,58.00 ,31.50 ,67.82 ,22.07 ,0.25 ,
3312.00 ,134.55 ,137.00 ,58.00 ,31.49 ,71.77 ,31.28 ,0.17 ,
3313.00 ,170.79 ,137.00 ,58.00 ,31.51 ,61.03 ,78.26 ,0.51 ,
3314.00 ,132.74 ,136.00 ,58.00 ,31.48 ,72.48 ,28.77 ,0.30 ,
3315.00 ,119.94 ,136.00 ,58.00 ,31.36 ,65.50 ,23.08 ,0.31 ,
3316.00 ,117.33 ,136.00 ,57.00 ,31.39 ,64.48 ,21.46 ,0.84 ,
3317.00 ,134.12 ,136.00 ,57.00 ,31.38 ,75.63 ,27.11 ,0.63 ,
3318.00 ,114.91 ,138.00 ,57.00 ,31.32 ,60.82 ,22.76 ,0.53 ,
3319.00 ,118.72 ,139.00 ,57.00 ,31.36 ,64.33 ,23.03 ,0.40 ,
3320.00 ,129.34 ,137.00 ,57.00 ,31.33 ,73.09 ,24.92 ,0.83 ,
3321.00 ,128.96 ,135.00 ,57.00 ,31.40 ,73.00 ,24.56 ,0.62 ,
3322.00 ,118.05 ,135.00 ,57.00 ,31.34 ,57.64 ,29.07 ,0.36 ,
3323.00 ,120.66 ,135.00 ,57.00 ,31.28 ,62.54 ,26.84 ,0.21 ,
3324.00 ,107.13 ,135.00 ,57.00 ,31.31 ,51.88 ,23.94 ,0.40 ,
3325.00 ,119.37 ,135.00 ,57.00 ,31.61 ,65.48 ,22.28 ,0.58 ,
3326.00 ,124.43 ,136.00 ,57.00 ,31.49 ,68.22 ,24.72 ,0.72 ,
3327.00 ,119.66 ,135.00 ,57.00 ,31.38 ,57.67 ,30.62 ,0.36 ,
3328.00 ,176.62 ,135.00 ,57.00 ,31.32 ,70.19 ,75.11 ,0.46 ,
3329.00 ,129.22 ,135.00 ,57.00 ,31.37 ,71.26 ,26.58 ,0.19 ,
3330.00 ,126.66 ,135.00 ,57.00 ,31.45 ,67.63 ,27.58 ,0.20 ,
3331.00 ,113.03 ,135.00 ,57.00 ,31.49 ,58.96 ,22.58 ,0.53 ,
3332.00 ,116.85 ,135.00 ,57.00 ,31.57 ,61.37 ,23.90 ,0.43 ,
3333.00 ,126.31 ,135.00 ,57.00 ,31.44 ,57.19 ,37.68 ,0.48 ,
3334.00 ,120.68 ,135.00 ,57.00 ,31.46 ,62.25 ,26.98 ,0.23 ,
3335.00 ,131.19 ,135.00 ,57.00 ,31.44 ,70.96 ,28.79 ,0.25 ,
3336.00 ,126.49 ,135.00 ,57.00 ,31.57 ,69.96 ,24.96 ,0.69 ,
3337.00 ,163.81 ,134.00 ,57.00 ,31.60 ,62.02 ,70.18 ,0.54 ,
3338.00 ,117.89 ,135.00 ,57.00 ,31.34 ,55.25 ,31.30 ,0.41 ,
3339.00 ,122.17 ,135.00 ,57.00 ,30.45 ,67.45 ,24.28 ,0.68 ,
3340.00 ,124.74 ,134.00 ,58.00 ,31.44 ,66.96 ,26.34 ,0.67 ,
3341.00 ,135.58 ,135.00 ,58.00 ,31.49 ,62.48 ,41.61 ,0.27 ,
3342.00 ,131.66 ,135.00 ,58.00 ,31.41 ,74.04 ,26.21 ,0.35 ,
3343.00 ,170.43 ,134.00 ,58.00 ,31.73 ,69.92 ,68.78 ,0.79 ,
3344.00 ,128.95 ,134.00 ,58.00 ,31.63 ,74.13 ,23.20 ,0.26 ,
3345.00 ,118.26 ,135.00 ,56.00 ,31.65 ,62.04 ,24.58 ,0.68 ,
3346.00 ,122.69 ,134.00 ,57.00 ,31.79 ,66.57 ,24.33 ,0.74 ,
3347.00 ,149.61 ,134.00 ,57.00 ,31.65 ,62.70 ,55.26 ,0.41 ,
3348.00 ,137.71 ,136.00 ,56.00 ,31.55 ,78.26 ,27.90 ,0.49 ,
3349.00 ,121.70 ,136.00 ,56.00 ,31.61 ,67.18 ,22.91 ,0.20 ,
3350.00 ,120.76 ,134.00 ,57.00 ,31.65 ,60.74 ,28.37 ,0.79 ,
3351.00 ,120.98 ,134.00 ,56.00 ,30.65 ,65.20 ,25.13 ,0.84 ,
3352.00 ,130.91 ,135.00 ,56.00 ,30.75 ,73.34 ,26.82 ,0.51 ,
3353.00 ,126.60 ,134.00 ,56.00 ,30.97 ,57.76 ,37.87 ,0.29 ,
3354.00 ,125.86 ,134.00 ,57.00 ,30.71 ,68.18 ,26.98 ,1.00 ,
3355.00 ,124.12 ,134.00 ,57.00 ,30.73 ,70.05 ,23.34 ,0.39 ,
3356.00 ,130.06 ,135.00 ,57.00 ,31.85 ,70.74 ,27.47 ,0.78 ,
3357.00 ,119.12 ,134.00 ,56.00 ,31.99 ,63.60 ,23.54 ,0.41 ,
3358.00 ,121.84 ,135.00 ,57.00 ,31.86 ,53.14 ,36.84 ,0.76 ,
3359.00 ,118.40 ,135.00 ,57.00 ,31.86 ,61.01 ,25.52 ,0.37 ,
3360.00 ,177.03 ,134.00 ,56.00 ,31.78 ,78.38 ,66.87 ,0.39 ,
3361.00 ,125.73 ,134.00 ,57.00 ,31.75 ,66.70 ,27.29 ,0.21 ,
3362.00 ,128.70 ,134.00 ,56.00 ,31.75 ,68.32 ,28.62 ,0.52 ,
3363.00 ,122.13 ,134.00 ,56.00 ,31.97 ,65.16 ,25.01 ,0.45 ,
3364.00 ,133.34 ,134.00 ,56.00 ,31.94 ,74.07 ,27.33 ,0.09 ,
3365.00 ,145.60 ,133.00 ,57.00 ,32.00 ,55.74 ,57.86 ,0.61 ,
3366.00 ,166.92 ,133.00 ,57.00 ,32.04 ,63.27 ,71.60 ,0.15 ,
3367.00 ,110.93 ,133.00 ,56.00 ,31.99 ,50.83 ,28.11 ,0.41 ,
3368.00 ,129.56 ,134.00 ,55.00 ,31.97 ,69.76 ,27.83 ,0.42 ,
3369.00 ,131.52 ,134.00 ,56.00 ,31.94 ,70.07 ,29.51 ,0.28 ,
3370.00 ,123.56 ,133.00 ,56.00 ,31.93 ,66.25 ,25.38 ,0.81 ,
3371.00 ,108.69 ,133.00 ,56.00 ,31.92 ,50.77 ,26.01 ,0.45 ,
3372.00 ,140.68 ,133.00 ,56.00 ,31.94 ,77.84 ,30.90 ,0.61 ,
3373.00 ,115.21 ,134.00 ,56.00 ,31.90 ,59.06 ,24.24 ,0.40 ,
3374.00 ,116.26 ,133.00 ,55.00 ,32.01 ,53.42 ,30.82 ,0.57 ,
3375.00 ,139.54 ,134.00 ,55.00 ,31.97 ,52.44 ,55.12 ,0.23 ,
3376.00 ,118.39 ,133.00 ,56.00 ,31.99 ,61.31 ,25.09 ,0.59 ,
3377.00 ,121.49 ,133.00 ,55.00 ,31.95 ,62.03 ,27.52 ,0.55 ,
3378.00 ,130.10 ,133.00 ,55.00 ,30.98 ,73.20 ,25.93 ,0.48 ,
3379.00 ,118.42 ,135.00 ,56.00 ,32.12 ,59.59 ,26.72 ,0.84 ,
3380.00 ,162.19 ,134.00 ,56.00 ,32.14 ,58.32 ,71.73 ,0.19 ,
3381.00 ,125.95 ,133.00 ,56.00 ,31.14 ,71.35 ,23.46 ,0.82 ,
3382.00 ,147.17 ,133.00 ,56.00 ,31.16 ,57.08 ,58.94 ,0.19 ,
3383.00 ,149.22 ,132.00 ,56.00 ,31.80 ,63.63 ,53.79 ,0.59 ,
3384.00 ,134.26 ,132.00 ,56.00 ,31.47 ,73.85 ,28.94 ,0.39 ,
3385.00 ,159.40 ,132.00 ,56.00 ,31.53 ,68.59 ,59.27 ,0.72 ,
3386.00 ,110.73 ,132.00 ,56.00 ,31.58 ,55.92 ,23.23 ,0.50 ,
3387.00 ,160.26 ,132.00 ,56.00 ,32.31 ,73.73 ,54.22 ,0.44 ,
3388.00 ,162.33 ,133.00 ,56.00 ,32.29 ,74.08 ,55.97 ,0.23 ,
3389.00 ,116.36 ,134.00 ,56.00 ,31.33 ,63.10 ,21.94 ,0.58 ,
3390.00 ,164.88 ,133.00 ,56.00 ,31.53 ,73.39 ,59.96 ,0.99 ,
3391.00 ,123.35 ,132.00 ,56.00 ,31.91 ,65.76 ,25.68 ,0.55 ,
3392.00 ,163.66 ,133.00 ,56.00 ,31.98 ,63.32 ,68.37 ,0.96 ,
3393.00 ,130.74 ,132.00 ,55.00 ,31.66 ,71.42 ,27.66 ,0.72 ,
3394.00 ,137.95 ,133.00 ,56.00 ,31.86 ,75.69 ,30.40 ,0.43 ,
3395.00 ,163.63 ,133.00 ,55.00 ,31.78 ,72.54 ,59.31 ,0.57 ,
3396.00 ,108.12 ,133.00 ,55.00 ,31.79 ,55.08 ,21.25 ,0.47 ,
3397.00 ,125.26 ,133.00 ,55.00 ,31.38 ,70.55 ,23.33 ,0.35 ,
3398.00 ,118.22 ,134.00 ,55.00 ,31.36 ,60.95 ,25.91 ,0.46 ,
3399.00 ,135.36 ,133.00 ,55.00 ,31.30 ,79.33 ,24.74 ,0.41 ,
3400.00 ,127.32 ,133.00 ,55.00 ,31.35 ,71.50 ,24.47 ,0.14 ,
3401.00 ,150.82 ,133.00 ,55.00 ,31.78 ,66.79 ,52.25 ,0.89 ,
3402.00 ,121.77 ,133.00 ,55.00 ,31.22 ,64.96 ,25.60 ,0.67 ,
3403.00 ,156.69 ,133.00 ,57.00 ,31.16 ,63.70 ,61.84 ,0.96 ,
3404.00 ,134.60 ,133.00 ,57.00 ,31.43 ,74.05 ,29.12 ,0.76 ,
3405.00 ,126.87 ,133.00 ,56.00 ,31.32 ,70.92 ,24.62 ,0.35 ,
3406.00 ,124.25 ,133.00 ,56.00 ,32.40 ,68.73 ,23.12 ,0.59 ,
3407.00 ,167.07 ,133.00 ,55.00 ,31.33 ,67.38 ,68.35 ,0.17 ,
3408.00 ,123.58 ,133.00 ,55.00 ,32.61 ,66.16 ,24.80 ,0.38 ,
3409.00 ,115.54 ,133.00 ,55.00 ,32.62 ,58.86 ,24.06 ,0.46 ,
3410.00 ,123.08 ,133.00 ,55.00 ,32.52 ,58.53 ,32.02 ,0.83 ,
3411.00 ,153.88 ,133.00 ,55.00 ,32.80 ,67.19 ,53.89 ,0.43 ,
3412.00 ,133.16 ,133.00 ,56.00 ,32.53 ,74.43 ,26.21 ,0.23 ,
3413.00 ,173.40 ,133.00 ,56.00 ,32.59 ,74.45 ,66.36 ,0.50 ,
3414.00 ,120.41 ,133.00 ,56.00 ,32.47 ,66.34 ,21.59 ,0.60 ,
3415.00 ,177.24 ,133.00 ,56.00 ,32.38 ,68.79 ,76.07 ,0.12 ,
3416.00 ,131.29 ,132.00 ,56.00 ,32.42 ,71.38 ,27.49 ,0.69 ,
3417.00 ,126.53 ,133.00 ,56.00 ,32.58 ,66.83 ,27.12 ,0.71 ,
3418.00 ,154.31 ,132.00 ,56.00 ,32.36 ,59.62 ,62.33 ,0.86 ,
3419.00 ,126.23 ,132.00 ,56.00 ,32.42 ,68.08 ,25.73 ,0.52 ,
3420.00 ,128.36 ,133.00 ,56.00 ,32.37 ,68.89 ,27.10 ,0.59 ,
3421.00 ,146.21 ,133.00 ,56.00 ,32.32 ,61.46 ,52.43 ,0.18 ,
3422.00 ,146.94 ,133.00 ,56.00 ,32.35 ,64.71 ,49.89 ,0.27 ,
3423.00 ,121.76 ,133.00 ,56.00 ,32.40 ,66.06 ,23.29 ,0.10 ,
3424.00 ,169.00 ,133.00 ,56.00 ,32.31 ,63.41 ,73.28 ,0.25 ,
3425.00 ,179.05 ,134.00 ,55.00 ,32.64 ,75.38 ,71.03 ,0.76 ,
3426.00 ,124.05 ,133.00 ,55.00 ,31.36 ,67.66 ,25.03 ,0.78 ,
3427.00 ,172.33 ,133.00 ,55.00 ,31.59 ,73.60 ,67.14 ,0.21 ,
3428.00 ,127.54 ,133.00 ,55.00 ,32.63 ,70.12 ,24.79 ,0.53 ,
3429.00 ,133.46 ,134.00 ,55.00 ,32.17 ,77.51 ,23.79 ,0.66 ,
3430.00 ,123.21 ,134.00 ,55.00 ,30.95 ,69.88 ,22.39 ,0.88 ,
3431.00 ,121.95 ,132.00 ,54.00 ,31.11 ,63.75 ,27.09 ,0.37 ,
3432.00 ,109.28 ,134.00 ,55.00 ,31.13 ,51.64 ,26.51 ,0.78 ,
3433.00 ,128.93 ,134.00 ,55.00 ,31.13 ,71.71 ,26.09 ,0.25 ,
3434.00 ,129.93 ,134.00 ,54.00 ,31.31 ,68.94 ,29.68 ,0.46 ,
3435.00 ,123.10 ,134.00 ,54.00 ,31.31 ,66.33 ,25.47 ,0.49 ,
3436.00 ,134.43 ,134.00 ,55.00 ,32.36 ,64.23 ,37.83 ,0.53 ,
3437.00 ,121.62 ,134.00 ,55.00 ,32.39 ,65.08 ,24.15 ,0.09 ,
3438.00 ,170.53 ,135.00 ,55.00 ,31.29 ,63.43 ,75.81 ,0.52 ,
3439.00 ,122.88 ,135.00 ,55.00 ,31.37 ,64.10 ,27.41 ,0.09 ,
3440.00 ,127.90 ,135.00 ,55.00 ,31.40 ,73.46 ,23.03 ,0.56 ,
3441.00 ,121.87 ,133.00 ,55.00 ,31.48 ,68.14 ,22.25 ,0.59 ,
3442.00 ,165.24 ,133.00 ,55.00 ,31.53 ,67.51 ,66.20 ,0.62 ,
3443.00 ,119.07 ,133.00 ,55.00 ,31.58 ,63.89 ,23.60 ,0.34 ,
3444.00 ,122.04 ,134.00 ,55.00 ,31.54 ,60.75 ,29.75 ,0.25 ,
3445.00 ,125.70 ,132.00 ,55.00 ,31.52 ,70.77 ,23.41 ,0.92 ,
