Iterations,Avg_StackingTime, ManpowerofForklifts, ManpowerofUnpacking, ManpowerofPacking, Forklifts, Avg_StackingTime_At_Gate,Avg_StackingTime_At_Inbound, Avg_StackingTime_At_Outbound,
52.00 ,110.80 ,373.00 ,146.00 ,137.00 ,218.00 ,27.81 ,59.58 ,23.42 ,0.08 
53.00 ,147.26 ,373.00 ,144.00 ,137.00 ,216.00 ,27.80 ,55.26 ,64.20 ,0.21 
54.00 ,119.32 ,374.00 ,145.00 ,137.00 ,218.00 ,27.71 ,67.65 ,23.96 ,0.28 
55.00 ,100.71 ,376.00 ,146.00 ,138.00 ,218.00 ,27.68 ,49.34 ,23.68 ,0.29 
56.00 ,144.85 ,374.00 ,145.00 ,136.00 ,218.00 ,27.68 ,48.59 ,68.58 ,0.35 
57.00 ,100.54 ,377.00 ,145.00 ,136.00 ,218.00 ,27.70 ,51.47 ,21.37 ,0.41 
58.00 ,112.53 ,374.00 ,144.00 ,136.00 ,217.00 ,27.72 ,62.47 ,22.34 ,0.24 
59.00 ,111.31 ,373.00 ,144.00 ,137.00 ,216.00 ,27.68 ,62.43 ,21.20 ,0.34 
60.00 ,110.15 ,372.00 ,141.00 ,136.00 ,221.00 ,27.78 ,60.65 ,21.72 ,0.64 
61.00 ,119.79 ,370.00 ,140.00 ,136.00 ,219.00 ,27.86 ,62.51 ,29.42 ,0.74 
62.00 ,111.21 ,368.00 ,141.00 ,134.00 ,220.00 ,27.96 ,52.95 ,30.30 ,0.44 
63.00 ,118.07 ,366.00 ,140.00 ,135.00 ,219.00 ,28.01 ,62.96 ,27.10 ,0.30 
64.00 ,153.72 ,365.00 ,139.00 ,136.00 ,220.00 ,28.01 ,57.44 ,68.28 ,0.30 
65.00 ,111.89 ,365.00 ,139.00 ,136.00 ,219.00 ,27.94 ,60.46 ,23.50 ,0.10 
66.00 ,117.72 ,360.00 ,140.00 ,136.00 ,221.00 ,28.16 ,61.97 ,27.59 ,0.36 
67.00 ,115.98 ,357.00 ,138.00 ,136.00 ,221.00 ,28.32 ,61.45 ,26.21 ,0.34 
68.00 ,116.38 ,355.00 ,138.00 ,135.00 ,219.00 ,28.77 ,63.32 ,24.29 ,0.50 
