Objective 1,Objective 2,Objective 3
97.311274995,232,119
103.16675055833332,218,98
105.29708700500001,206,119
99.29966955666667,244,118
113.037400675,188,102
113.05733307333334,201,98
106.018214905,207,93
89.588925395,260,114
110.14128399,210,92
102.54853475666667,214,105
100.77523518999999,273,111
100.71246913833333,244,114
95.25764546333333,251,119
96.98246907000001,270,113
88.03298527,273,121
144.07461488833331,193,84
135.51323973666666,176,91
121.35835012333334,174,112
106.76778878333333,191,101
153.78027656166665,167,85
157.29890914666666,164,87
99.34886169833334,240,115
108.421108745,202,94
191.57692711166666,164,72
162.10304623000002,175,80
185.209480805,161,75
100.20611985833332,288,105
130.78724552,193,85
271.45669562499995,144,69
187.08555492333335,168,67
118.56721942666667,186,93
208.30878508,154,65
214.07408458166665,150,66
182.11984415666666,168,74
143.60519202166665,232,83
147.22576240666666,164,90
146.67692299833334,170,89
169.7755026433333,158,83
166.77597475166667,151,85
171.52223121,148,76
140.732803835,176,85
167.678517885,159,82
118.58212417833334,175,92
138.57700061666668,191,89
145.50026066833334,171,90
230.21398809000002,145,76
162.27635459666666,161,91
148.55924514833333,177,76
260.64891372333335,149,64
133.62756893166667,172,96
93.40049379333334,235,120
106.35019487833334,205,126
313.1324013116667,148,58
303.1101029833334,141,66
128.11861214666666,195,91
160.03252668833332,163,89
145.82709132333332,174,82
95.05212144500001,285,111
163.21453646833334,163,87
228.03259669333335,148,69
195.28856231833333,151,68
101.953004435,237,113
314.16021023,135,61
276.41622925,142,70
216.03567654666668,142,87
316.78160610333333,130,67
400.31071453166663,131,62
334.22645600666664,129,67
385.665661065,124,67
101.18831332666666,244,113
429.42178226,120,64
320.10022838000003,125,72
914.7981321783334,109,61
342.54501822833333,126,64
286.28057226666664,137,69
130.98614828666666,166,113
1656.2506221899998,106,55
101.02596734,220,115
233.01946790666668,142,75
1458.2591863266666,105,61
464.72317856000006,126,56
822.5362661483333,108,63
537.3774233416666,117,62
245.89130934666667,134,79
600.6473096916667,111,64
248.71450373333332,133,75
1671.942392275,107,53
317.47745202666664,129,73
618.6346303299999,116,58
585.065606045,114,62
1499.683593195,109,55
83.93061417,325,132
879.5713385766667,112,56
243.41916475833332,133,91
1997.0445636866666,111,51
700.2379423183335,115,56
509.27090132333336,114,64
1095.6271213366667,113,52
631.7566358116667,112,59
630.462789725,113,57
682.6749794933332,110,58
423.5801677366667,134,55
406.81372479333334,130,61
381.59517562166667,125,63
546.1412279183332,130,55
799.0149914983333,132,50
1174.0377409183334,108,58
595.3919274266666,151,54
625.0384151916667,123,55
98.53222140833334,302,104
454.363644345,127,61
464.76396788833335,122,56
560.293931425,116,60
1157.8556762733333,106,68
997.6883853866667,109,59
1273.1719941183335,110,57
713.9124303100001,116,51
1549.8958981383335,117,49
1073.961671215,123,49
2256.1402786383333,112,50
1440.4731096599999,111,52
1387.8070969783332,110,53
1350.3526076416667,110,55
524.2118148916667,119,60
1206.1314871283332,114,50
751.8221521716666,115,53
2125.3231147449997,125,48
247.080356875,135,71
368.213450875,133,62
753.3141164683334,109,62
285.52845924,145,68
2603.9197086766667,109,51
2035.5140694450001,105,54
1330.5806084116666,107,56
391.50333351999996,115,65
