Iterations,Avg_StackingTime, ManpowerofForklifts, ManpowerofUnpacking, ManpowerofPacking, Forklifts, Avg_StackingTime_At_Gate,Avg_StackingTime_At_Inbound, Avg_StackingTime_At_Outbound,, Manpower
5187,143.56,93,39,49,49,31.95,65.41,46.19,0.39,181
5188,127.97,93,39,49,49,31.98,75.28,20.71,0.2,181
5189,124.27,93,39,49,49,31.89,70.82,21.56,0.2,181
5190,135.82,93,39,49,49,32.03,75.29,28.5,0.36,181
5191,126.13,93,39,49,49,31.97,72.42,21.74,0.34,181
5192,126.99,92,39,49,49,32.88,72.29,21.82,0.56,180
5193,135.58,92,39,49,49,33.01,68.01,34.55,0.24,180
5194,134.72,93,39,49,49,32.99,72.82,28.91,0.27,181
5195,116.15,92,39,49,49,33.07,65.61,17.47,0.4,180
5196,127.96,92,39,49,49,32.84,71.45,23.67,0.45,180
5197,135.35,92,39,49,49,32.85,77.86,24.64,0.24,180
5198,132.08,92,39,49,49,32.36,78.59,21.13,0.29,180
5199,172.15,92,39,49,49,32.87,71.22,68.06,0.24,180
5200,121.39,92,39,49,49,32.45,64.47,24.47,0.55,180
5201,169.67,91,39,49,49,32.43,75.57,61.67,0.29,179
5202,130.22,91,39,49,49,32.47,72.21,25.54,0.28,179
5203,123.98,91,39,49,49,32.61,62.5,28.87,0.42,179
5204,131.5,92,40,49,49,32.93,78.41,20.17,0.7,181
5205,110.17,91,40,49,49,32.91,54.7,22.56,0.16,180
5206,177.11,92,39,49,49,33.05,68.28,75.79,0.65,180
5207,132.02,92,40,49,49,33.08,72.36,26.58,0.42,181
5208,128.28,92,40,49,49,33.08,70.42,24.78,0.38,181
5209,172.31,92,40,49,49,33.05,71.08,68.19,0.3,181
5210,117.63,92,40,49,49,33.09,55.06,29.49,0.15,181
5211,119.36,92,40,49,49,33.08,65.78,20.49,0.36,181
5212,165.59,92,39,49,49,33.07,67.09,65.44,0.41,180
5213,129.87,92,40,49,49,33.35,72.8,23.72,0.49,181
5214,110.32,92,40,49,49,33.38,54.88,22.06,0.15,181
5215,124.72,92,40,49,49,33.35,67.59,23.78,0.09,181
5216,135.62,92,40,49,49,32.81,62.2,40.61,0.49,181
5217,156.73,92,40,49,49,33.37,66.66,56.69,0.35,181
5218,138.34,92,40,49,49,32.95,68.92,36.48,0.42,181
5219,128.16,92,39,50,49,32.97,71.64,23.55,0.48,181
5220,115.55,92,39,49,49,32.44,60.74,22.37,0.61,180
5221,132.94,91,39,49,48,32.44,72.66,27.85,0.53,179
5222,121.72,91,39,50,48,32.44,69.72,19.56,0.36,180
5223,173.36,92,39,49,49,32.44,75.08,65.83,0.41,180
5224,125.48,92,39,49,48,32.24,70.32,22.92,0.47,180
5225,164.49,92,39,49,48,32.23,69.45,62.81,0.54,180
5226,132.1,92,40,50,48,32.67,74.24,25.19,0.32,182
5227,137.28,92,40,50,48,32.66,80.34,24.28,0.24,182
5228,125.13,92,40,50,48,32.67,70.89,21.57,0.18,182
5229,122.3,92,39,50,48,32.7,67.03,22.57,0.11,181
5230,119.68,92,39,50,48,32.72,61.71,25.24,0.16,181
5231,137.55,91,39,50,48,33.77,78.13,25.65,0.27,180
5232,133.5,91,39,50,48,32.31,76.5,24.68,0.45,180
5233,144.02,91,39,50,48,32.34,87.03,24.65,0.12,180
5234,121.97,91,39,50,48,32.32,68.01,21.65,0.24,180
5235,116.19,92,39,50,48,32.39,58.44,25.35,0.53,181
5236,179.85,91,39,50,48,32.52,76.45,70.89,0.36,180
5237,159.32,91,39,49,48,33.45,74.18,51.68,0.48,179
5238,116.42,90,38,49,48,32.72,61.1,22.6,0.4,177
5239,176.29,92,39,49,49,33,78.1,65.18,0.54,180
5240,130.63,91,39,49,49,33.95,73.6,23.08,0.43,179
5241,125.5,92,39,49,48,33.98,65.77,25.76,0.18,180
5242,126.76,92,39,49,48,32.88,76.34,17.53,0.45,180
5243,128.24,91,39,49,48,32.98,73.62,21.65,0.54,179
5244,131.4,91,40,49,48,33.19,71.59,26.63,0.5,180
5245,166,91,39,49,49,32.69,83.26,50.05,0.41,179
5246,128.9,91,39,49,48,32.74,73.6,22.56,0.25,179
5247,144.38,90,39,49,48,33.06,86.08,25.24,0.44,178
5248,164.39,91,39,49,49,33.21,72.18,59,0.31,179
5249,168.73,91,39,49,49,33.19,81.29,54.25,0.21,179
5250,161.82,91,39,49,49,33.03,75.28,53.51,0.41,179
5251,132.04,91,39,49,49,33.11,74.83,24.11,0.16,179
5252,129.43,91,39,49,49,32.72,69.22,27.49,0.19,179
5253,162.24,91,40,49,48,32.8,58.5,70.93,0.32,180
5254,137.34,91,39,49,48,32.8,77.35,27.19,0.3,179
5255,132.08,91,39,49,48,32.72,75.37,23.99,0.38,179
5256,124.96,91,39,49,48,32.82,70.07,22.08,0.15,179
5257,160.59,92,39,48,48,32.68,69.96,57.96,0.42,179
5258,138.45,92,39,48,48,32.66,82.06,23.73,0.41,179
5259,127.09,92,39,48,48,32.7,74.15,20.24,0.32,179
5260,121.63,92,39,48,48,33.07,64.43,24.12,0.28,179
5261,138.85,92,38,48,48,32.75,83.82,22.29,0.2,178
5262,135.53,92,39,48,48,32.62,78.64,24.27,0.15,179
5263,138.31,92,39,48,48,32.61,75.08,30.63,0.46,179
5264,129.49,92,39,48,48,32.58,68.11,28.8,0.15,179
5265,142.6,92,39,48,48,32.66,86.03,23.91,0.1,179
5266,131.86,93,39,48,48,32.58,74.76,24.52,0.5,180
5267,118.16,91,39,48,48,32.42,61.97,23.78,0.72,178
5268,118.03,90,39,49,48,32.49,64.38,21.16,0.27,178
5269,123.39,90,39,49,48,32.46,69.15,21.79,0.36,178
5270,145.14,91,39,48,49,33.07,85.36,26.7,0.53,178
5271,123.45,92,39,48,49,33.04,69.6,20.82,0.41,179
5272,130.38,92,39,48,49,33.14,71.44,25.8,0.12,179
5273,135.26,92,39,48,48,33.98,77.21,24.06,0.54,179
5274,120.23,92,39,49,48,34.11,63.83,22.3,0.31,180
5275,140.62,93,39,49,49,32.44,60.04,48.14,0.44,181
5276,122.76,93,39,49,49,34.05,65.81,22.9,0.48,181
5277,132,93,39,49,49,34.34,69.56,28.1,0.24,181
5278,191.91,93,39,49,49,34.47,87.76,69.68,0.14,181
5279,156.88,93,39,49,49,33.79,66.89,56.2,0.25,181
5280,116.13,92,39,49,48,34.37,59.74,22.02,0.42,180
5281,130.44,92,39,49,48,34.41,60.53,35.5,0.27,180
5282,122.83,92,39,49,48,34.49,65.99,22.36,0.25,180
5283,127.13,93,39,49,49,34.24,65.93,26.96,0.39,181
5284,113.09,92,39,49,48,33.28,58.61,21.2,0.42,180
5285,130.83,93,39,49,48,33.28,77.31,20.24,0.25,181
5286,125.91,93,39,49,49,33.08,67.47,25.36,0.25,181
5287,132.23,93,39,49,49,33.32,69.54,29.37,0.45,181
5288,119.46,93,39,49,49,33.33,62.8,23.33,0.25,181
5289,124.56,92,39,49,49,33.28,62.08,29.2,0.33,180
5290,129.77,92,39,49,49,33.29,70.34,26.14,0.34,180
5291,120.42,92,39,49,49,33.42,61.34,25.66,0.4,180
5292,140.97,93,39,49,49,33.01,78.3,29.66,0.33,181
5293,129.77,92,39,49,48,33.04,73.57,23.17,0.28,180
5294,155.19,91,39,49,49,33.25,63.85,58.09,0.29,179
5295,131.45,91,39,49,49,33.21,73.2,25.04,0.13,179
5296,131.39,92,39,49,48,33.25,74.58,23.57,0.2,180
5297,102.7,93,39,48,48,33.19,48.66,20.85,0.59,180
5298,157.51,92,39,48,48,33.12,75.35,49.04,0.24,179
5299,111.58,93,39,49,48,33.14,56.09,22.35,0.37,181
5300,162.64,93,39,48,48,33.19,64.8,64.64,0.24,180
5301,158.45,92,39,49,48,33,56.31,69.14,0.22,180
5302,131.76,92,39,48,48,32.8,76.55,22.41,0.55,179
5303,110.36,92,39,48,48,32.86,54.82,22.68,0.13,179
5304,122.37,91,39,49,48,32.89,64.27,25.22,0.61,179
5305,162.52,91,39,49,48,32.87,66.7,62.95,0.22,179
5306,122.86,91,39,48,48,32.91,66.94,23.02,0.33,178
5307,130.58,91,39,49,48,32.79,67.58,30.22,0.43,179
5308,173.65,91,39,48,48,32.78,70.49,70.39,0.28,178
5309,121.86,91,39,49,48,32.84,66.44,22.58,0.47,179
5310,108.25,92,39,49,47,33.15,50.93,24.17,0.49,180
5311,135.53,92,39,49,47,32.87,69.55,33.12,0.26,180
5312,118.7,92,39,49,48,32.87,62.66,23.17,0.37,180
5313,148.4,93,39,49,48,32.91,60.96,54.54,0.19,181
5314,133.72,92,39,49,48,32.7,80.16,20.86,0.58,180
5315,120.01,92,39,49,47,32.7,64.21,23.1,0.24,180
5316,157.14,91,39,49,49,32.65,69.61,54.88,0.35,179
5317,130.75,92,39,49,47,32.65,70.79,27.31,0.2,180
5318,118.48,93,39,49,49,32.63,64.5,21.36,0.28,181
5319,120.27,93,39,48,48,33.19,64.85,22.22,0.53,180
5320,131.3,92,39,49,48,33.23,73.84,24.22,0.2,180
5321,123.06,92,39,48,49,33.02,65.25,24.79,0.32,179
5322,114.72,93,39,48,49,33.01,56.81,24.9,0.28,180
5323,126.36,92,39,48,49,33.29,70.54,22.53,0.51,179
5324,162.11,93,39,48,48,33.11,58.95,70.04,0.31,180
5325,130.31,94,39,48,48,33.26,76.14,20.91,0.42,181
5326,115.84,93,39,48,48,33.21,56.97,25.66,0.33,180
5327,112.27,93,38,48,48,33.07,53.29,25.9,0.25,179
5328,119.3,93,38,48,48,33.15,63.31,22.84,0.39,179
5329,157.66,93,38,48,48,32.68,70.22,54.75,0.27,179
5330,116.45,93,38,48,48,32.54,60.26,23.65,0.31,179
5331,120.04,93,38,48,48,32.57,64.59,22.88,0.12,179
5332,115.56,93,38,48,48,32.56,61.75,21.26,0.07,179
5333,122.46,94,38,48,48,32.62,59.85,30,0.22,180
5334,121.96,94,38,48,48,31.98,68.58,21.41,0.39,180
5335,126.23,94,38,48,48,32.28,71.24,22.71,0.41,180
5336,119.8,94,38,48,48,32.14,66.43,21.24,0.38,180
5337,111.63,94,38,48,48,32.35,55.5,23.78,0.48,180
5338,124.68,92,38,48,47,32.99,66.01,25.68,0.65,178
5339,123.27,92,38,48,47,33.03,65.27,24.97,0.26,178
5340,154.29,93,38,48,47,33.26,68.03,53,0.56,179
5341,124.65,92,38,48,47,33.3,69.77,21.57,0.21,178
5342,128.24,94,38,48,47,33.28,69.79,25.17,0.29,180
5343,122.95,92,38,48,47,33.67,69.43,19.85,0.55,178
5344,118.19,91,38,48,47,33.08,63.05,22.05,0.51,177
5345,129.96,91,38,48,47,33.1,70.77,26.09,0.37,177
5346,110.69,92,38,48,47,33.05,59.32,18.32,0.36,178
5347,122.69,92,38,48,47,33.58,66.99,22.12,0.43,178
5348,106.47,92,38,48,48,33.64,55.98,16.85,0.3,178
5349,112.42,91,38,48,48,33.7,59.01,19.72,0.36,177
5350,119.19,91,38,48,47,33.61,63.45,22.14,0.36,177
5351,121.8,91,38,48,47,33.29,64.54,23.97,0.55,177
5352,118.5,92,38,48,47,33.21,64.6,20.69,0.24,178
5353,123.98,91,38,48,47,33.66,68.72,21.6,0.22,177
5354,110.1,91,38,48,47,33.58,57.52,19,0.21,177
5355,125.45,91,38,48,47,33.57,67.75,24.13,0.38,177
5356,124.78,91,38,48,47,33.53,64.55,26.7,0.37,177
5357,121.21,91,39,48,47,34.02,66.7,20.49,0.27,178
5358,120.56,92,39,48,47,33.93,55.34,31.3,0.52,179
5359,137.66,91,39,48,47,33.66,79.95,24.06,0.27,178
5360,124.92,90,39,49,47,33.88,71.03,20,0.32,178
5361,119.85,92,39,49,47,34.23,62.54,23.08,0.42,180
5362,164.29,91,39,49,47,33.93,65.9,64.45,0.44,179
5363,122.66,91,39,49,47,33.87,66.27,22.52,0.42,179
5364,161.38,92,38,49,47,33.95,69.93,57.49,0.26,179
5365,126.14,92,39,49,48,33.79,67.13,25.22,0.23,180
5366,162,92,39,49,48,33.76,72.14,56.09,0.1,180
5367,121.01,92,39,49,48,33.77,67.49,19.75,0.21,180
5368,121.52,91,38,49,47,33.65,64.78,23.09,0.38,178
5369,159.16,91,38,49,47,33.65,68.78,56.73,0.24,178
5370,118.12,91,38,48,47,33.4,61.4,23.31,0.18,177
5371,143.32,91,39,48,47,33.64,81.83,27.85,0.61,178
5372,169.88,91,38,49,47,33.7,64.95,71.24,0.28,178
5373,154.04,92,38,48,48,33.57,63.06,57.4,0.22,178
5374,136.16,92,39,48,48,33.58,77.34,25.25,0.3,179
5375,128.94,90,38,48,47,32.91,69.14,26.89,0.54,176
5376,122.86,91,38,48,47,33.57,64.47,24.82,0.22,177
5377,124.12,90,39,48,47,33.23,67.09,23.79,0.38,177
5378,117.59,90,39,48,47,33.04,55.69,28.86,0.06,177
5379,133.07,90,39,48,46,33.57,72.55,26.95,0.2,177
5380,161.5,91,38,48,47,33.12,76.69,51.69,0.32,177
5381,116.54,91,38,48,47,33.05,56.8,26.69,0.34,177
5382,122.31,90,38,48,47,33.24,63.28,25.78,0.35,176
5383,115.95,90,39,48,48,32.5,58.52,24.93,0.65,177
5384,148.95,90,39,48,47,32.36,59.29,57.3,0.43,177
5385,119.15,90,39,48,47,32.39,60.3,26.47,0.7,177
5386,121.73,91,39,48,47,32.47,64.14,25.12,0.38,178
5387,107.68,90,39,48,47,32.46,51.29,23.93,0.22,177
5388,133.07,91,38,48,46,33.37,75.57,24.13,0.42,177
5389,114.03,90,38,48,47,33.07,61.48,19.47,0.46,176
5390,121.48,91,38,48,46,33.41,63.34,24.73,0.48,177
5391,127.7,90,38,48,46,33.4,66.43,27.87,0.36,176
5392,120.63,90,38,48,46,33.36,63.15,24.13,0.13,176
5393,124.04,91,38,47,47,32.99,69.98,21.07,0.6,176
5394,118.7,90,38,48,47,32.98,52.04,33.67,0.3,176
5395,125.35,91,38,47,47,33.24,66.11,26,0.45,176
5396,117.92,92,38,47,47,33.33,62.21,22.38,0.53,177
5397,174.3,91,38,47,47,33.34,71.31,69.65,0.27,176
5398,157.55,91,38,47,48,33.34,68.96,55.25,0.19,176
5399,126.44,91,38,48,47,33.26,70.59,22.59,0.16,177
5400,118.16,90,38,48,47,33.28,63.18,21.7,0.22,176
5401,121.32,91,38,48,46,32.98,68.37,19.97,0.45,177
5402,164.16,91,39,48,47,32.9,65.98,65.28,0.51,178
5403,130.22,91,38,48,47,33.38,70.31,26.53,0.24,177
5404,124.42,90,39,48,47,32.86,64.11,27.45,0.33,177
5405,121.57,90,38,48,47,32.86,65.76,22.95,0.21,176
5406,122.53,91,39,48,47,32.89,66.3,23.35,0.31,178
5407,124.41,90,38,48,47,32.85,69.69,21.87,0.26,176
5408,156.76,91,39,48,47,32.84,70.29,53.64,0.34,178
5409,168.18,91,39,48,47,32.87,68.28,67.03,0.42,178
5410,119.41,90,39,48,47,33.26,65.54,20.61,0.28,177
5411,129.25,91,39,48,47,33.45,71.27,24.54,0.4,178
5412,122.92,91,39,47,47,33.22,66.03,23.66,0.32,177
5413,132.69,91,39,48,47,33.25,73.02,26.42,0.11,178
5414,142.18,91,39,47,47,33.27,83.88,25.03,0.52,177
5415,133.97,91,39,47,47,33.3,72.32,28.35,0.19,177
5416,166.09,91,39,48,48,32.68,63.74,69.67,0.43,178
5417,125.07,90,39,48,48,32.71,69.58,22.78,0.24,177
5418,146.95,91,38,48,48,32.15,66.92,47.88,0.47,177
5419,117.92,91,38,48,48,32.1,60.93,24.89,0.16,177
5420,121.92,91,38,48,48,32.52,69.25,20.16,0.34,177
5421,121.75,90,39,48,47,32.07,68.21,21.47,0.3,177
5422,121.92,89,38,48,48,32.1,64.17,25.65,0.25,175
5423,120.36,90,38,48,47,32.28,65.33,22.76,0.52,176
5424,106.95,90,38,48,47,32.68,52.48,21.78,0.43,176
5425,117.34,90,38,48,47,32.7,60.92,23.72,0.13,176
5426,166.83,90,38,48,47,32.13,61.4,73.29,0.4,176
5427,167.51,91,39,48,47,31.93,65.19,70.38,0.67,178
5428,126.29,90,38,48,47,32.03,70.74,23.52,0.35,176
5429,169.68,90,38,47,47,32.13,65.3,72.24,0.67,175
5430,153.3,91,38,48,47,32.03,69.13,52.15,0.42,177
5431,126.12,91,38,48,47,32.05,68.62,25.45,0.33,177
5432,123.94,91,38,48,46,32,72.87,19.07,0.2,177
5433,147.2,92,38,48,47,32.02,68.91,46.27,0.29,178
5434,116.68,91,38,48,47,32.55,58.71,25.41,0.41,177
5435,125.07,91,37,48,47,32.56,68.81,23.7,0.13,176
5436,122.89,91,37,48,47,32.58,68.57,21.73,0.25,176
5437,133.55,90,38,48,47,32.57,80.08,20.91,0.46,176
5438,123.88,91,38,48,47,32.7,69.66,21.52,0.58,177
5439,133.04,91,38,48,47,32.66,72.93,27.45,0.25,177
5440,120.87,91,38,48,46,32.46,65.66,22.74,0.6,177
5441,153.23,90,38,48,47,32.57,63.61,57.05,0.49,176
5442,148.37,90,38,48,47,32.59,63.02,52.76,0.35,176
5443,127.77,89,38,48,47,32.53,72.96,22.28,0.46,175
5444,147.14,90,38,47,47,32.34,50.02,64.78,0.37,175
5445,121.56,90,39,48,47,32.43,62.97,26.15,0.55,177
5446,114.11,89,38,47,47,32.56,58.55,23,0.41,174
5447,127.7,90,38,48,48,31.74,64.38,31.58,0.69,176
5448,151.93,90,38,48,48,31.71,65.58,54.63,0.46,176
5449,148.65,91,38,48,47,31.73,64.1,52.81,0.53,177
5450,115.15,90,38,48,47,31.75,59.46,23.94,0.4,176
5451,119.43,90,38,48,47,31.66,66.87,20.9,0.49,176
5452,163.64,90,38,48,47,31.7,61.03,70.92,0.37,176
5453,115.77,90,38,48,47,31.8,62.16,21.81,0.39,176
5454,122.87,91,37,48,47,31.79,73.22,17.86,0.31,176
5455,129.78,90,37,47,47,31.81,73.97,24,0.32,174
5456,126.28,90,37,48,47,31.83,70.69,23.76,0.21,175
5457,122.21,90,37,47,47,31.88,69.34,20.99,0.29,174
5458,113.54,90,37,47,47,31.94,61.2,20.39,0.39,174
5459,130.12,89,38,47,47,32.17,78.66,19.29,0.45,174
5460,116.31,89,38,47,47,32.11,64.72,19.49,0.16,174
5461,144.81,90,38,47,47,31.97,61.6,51.25,0.35,175
