Objective 1,Objective 2,Objective 3
1111.6985768966665,460,175
240.3229167833333,489,184
166.633562925,493,173
171.94933086666668,547,183
128.797239115,551,172
178.52327731166667,520,229
882.2836080833333,501,155
145.81842165166665,528,178
102.303989065,710,228
155.69940927666667,552,238
119.88986110833333,560,196
186.88586926,567,185
416.14983163166664,514,174
1177.9842690283333,489,158
107.52304858,647,198
1330.9902610699999,493,154
207.76859462166667,523,163
1587.4080773166665,489,170
892.5007712183333,499,165
289.67705765166664,518,206
290.8165518783333,475,172
258.39675753333336,535,179
143.29646924166664,560,186
256.5536506,502,186
1244.9180413016666,504,153
725.5485708433333,486,188
169.38545367166668,491,183
191.30520390499998,510,185
190.53120390499998,498,187
484.4919965,519,186
586.2602123316666,490,159
1409.907651773333,485,149
104.75963207166666,642,244
563.8152657283334,504,155
107.794967905,641,249
346.9549936166667,481,180
1044.4409016716668,492,157
682.6137944499999,479,189
492.0524494383333,468,182
415.4449341983333,497,170
108.50249304833333,669,186
1730.8826410216666,496,160
293.13384736833336,542,235
411.37373403000004,529,236
271.00325061166666,539,232
251.07599072833332,503,172
356.84440385333335,503,166
475.9871158583333,523,203
155.61834619166666,572,191
1345.0982031316667,471,186
855.91518339,527,242
144.99024544,513,184
344.7815284033333,547,180
813.371409725,486,155
1424.569129565,477,163
100.29185355,664,247
228.10566315499997,483,189
898.6671376516666,484,157
247.38627934500002,534,196
392.96709594666663,513,211
95.84551165166667,695,219
362.87810128,481,184
971.891242135,498,162
258.4761133633333,531,244
733.8251218633333,477,165
269.08341374500003,518,153
187.65135715833335,502,225
285.75522429333336,534,181
105.23954545000001,658,220
902.16024251,476,156
2305.068607243333,486,161
389.74570757833334,508,152
161.65326152333333,515,206
925.1156718216668,513,151
451.486201835,518,179
213.869261365,507,151
896.5424246499999,485,157
241.57499908666668,503,197
493.98125323499994,540,170
102.53143950833334,680,224
349.4633472066667,490,153
1947.167349075,512,141
637.4817531383333,494,143
473.5133093566667,492,179
201.53948014000002,548,218
592.9821325749999,500,146
136.79057264833335,518,208
152.76473692333332,530,195
887.4442578750001,500,148
670.2729551383333,490,157
157.211878485,513,202
261.43805431333334,490,200
235.49440908666668,545,185
514.4152833766667,504,158
254.52831685833334,541,178
1028.4788094533335,494,155
297.16926351333336,501,195
2326.330936835,518,148
195.25934347666666,500,187
112.83798145333333,530,181
178.10059317500003,520,205
571.2083753000001,475,177
149.74384048333334,505,168
1592.1248517116667,502,155
714.89089368,505,150
303.49167860333336,513,150
353.5853677416667,507,145
2951.745996623333,471,171
930.8536865966668,460,164
234.3250379016667,514,160
274.5770360116667,526,194
837.7658967333333,474,189
1248.5063936266665,496,152
1748.3742471016665,527,156
425.45763238,533,245
473.24363880833334,483,171
428.95112986500004,487,164
229.7109548933333,557,191
98.14264509666667,712,230
692.370550705,478,165
252.81615567666665,555,187
99.58193637666668,677,217
357.34395437333336,511,157
334.2544870666667,489,189
204.25619281166666,584,216
856.7257167366666,503,169
243.37092478333335,491,168
320.7534190566667,503,165
498.9210113583333,528,169
100.042695005,694,203
905.4347803433334,507,156
837.903771035,499,147
157.845231615,535,241
1777.5006233683334,515,140
324.4237241683333,505,167
279.23636267333336,536,244
357.8035591183333,480,201
238.43579892000002,542,245
298.19245975166666,629,226
425.26531244166665,569,214
306.7785878166667,498,207
1705.8649522100002,511,148
297.3835557466667,512,146
1116.3308035233333,488,200
295.58861142,604,207
283.71993757,522,143
231.96215476666666,502,182
208.95959179,495,183
807.44807122,499,147
211.48901820499998,543,205
836.9326453900001,480,183
296.72210933,491,180
854.9992774366667,502,155
239.91840098,543,250
186.08471183333333,506,195
445.68507320500004,547,186
382.39963616,527,239
1547.7591638166666,488,175
610.3560745516667,557,152
2121.1752852216664,508,146
216.9921383216667,510,180
222.15919997166668,545,259
99.98267485833334,702,231
629.3728468733334,516,144
4274.686301876666,492,157
835.5303683633334,502,181
390.84377832833337,511,195
885.2060425316666,501,153
603.5716940033334,505,151
3941.04592233,491,151
526.1450830133333,498,193
934.3699410116667,502,152
263.74457881,568,176
130.05578723166667,662,223
1813.6646643133336,514,146
105.158541575,725,196
353.88417182999996,547,180
1478.99771431,541,177
3524.531595065,485,164
186.71962039,484,179
955.8785093566668,480,167
329.16175975333334,549,181
1302.970416545,475,165
486.763580755,483,162
1191.4171503866667,479,166
166.62700387333334,488,178
605.5967201266667,513,239
467.26664979,529,169
800.9076972333334,483,173
183.24773094666665,489,176
369.89621057333335,503,176
286.56220456666665,465,187
357.6216746416667,555,260
630.483291335,481,170
271.4725311433333,543,260
438.469419065,530,235
369.41174474166667,527,235
1218.7390767566667,501,155
928.45458133,555,168
748.9209117483333,494,184
298.97413202666667,482,170
476.36187693666665,502,232
391.30122287499995,515,182
274.298360695,531,161
105.90558968333333,723,239
307.5509960233333,485,179
713.731168805,510,181
108.67261661833334,595,240
662.751966175,496,146
165.32792526833333,497,186
1037.3319042766666,483,154
570.5326394183334,478,172
150.25754751166667,490,191
281.75771370166666,502,186
140.11906984666666,491,191
128.37448401166668,496,187
2940.7419782016664,508,158
284.35045389,538,236
1353.3869438366667,480,192
639.52092984,490,173
1350.6191579316667,524,206
372.8203754283333,528,211
1671.21845522,500,148
89.692526925,771,245
351.83041266333333,493,206
193.50323095166667,545,178
177.12509831,547,241
725.1788961033333,485,212
661.7363054066667,488,182
1795.7248106833333,521,211
261.01097196166666,492,175
1834.4255580816664,496,152
231.87941855166667,515,197
1344.6179588383334,481,162
179.61401287666666,550,219
289.562343525,537,236
215.05299480166667,546,179
940.1893039283334,529,243
285.767042795,554,176
160.80155832333332,549,187
1076.0966164833335,485,170
139.93578016833334,586,243
637.9529917716667,477,165
472.94328298666665,476,162
277.7440366966667,505,216
289.89582987,501,181
2094.4424162083333,531,153
318.5817319266667,538,189
113.79904256166667,573,169
