Objective 1,Objective 2,Objective 3
91.74582661666666,754,240
152.343842785,594,201
155.58602557166665,532,196
336.19125448333335,519,190
222.23299348166665,560,173
138.1917254916667,567,179
317.14264784833335,559,189
433.1918413966667,564,153
222.74436744333335,519,175
693.2113364183333,521,190
357.53506171500004,533,173
213.72227138666668,513,178
464.59157695833335,506,151
195.66095124,512,147
396.50352453666665,504,159
212.185113285,513,152
240.43646757166667,533,143
264.03648072000004,532,144
120.18741134,619,178
243.92976150833334,535,143
158.15660210666667,554,172
224.48175338666667,536,164
231.85017302833333,517,152
175.97632590166668,527,147
98.81315153166668,625,182
143.12013062666668,581,201
269.99429350500003,527,168
414.5431976816667,510,151
148.76928594499998,551,160
312.33955048666667,533,157
142.87040469,583,197
208.59823713,526,174
339.99813779333334,514,148
229.06970852833334,522,152
145.63456075,586,170
142.03443264999999,546,187
359.1627494766667,508,158
443.3379474533333,507,147
236.338365015,513,145
180.927431575,515,145
140.11084392166669,543,150
414.3111971533333,525,157
188.14429729333335,516,151
126.22674190500001,591,210
263.5343864733333,514,154
119.894204565,559,155
111.66287819000001,549,178
172.52722834833332,600,179
252.79503366,515,149
381.29817618833334,513,172
450.92073275499996,512,199
405.801801325,512,169
159.579338065,546,191
171.67756164000002,518,154
265.729161195,514,148
250.378990505,513,151
103.59944683666666,675,211
170.80148608166667,535,142
194.771268865,516,152
185.16499811833333,524,147
156.98570246,527,152
158.190056065,528,147
284.2399392483333,511,211
170.18646186,588,184
175.62822580666665,546,149
377.850132475,511,172
224.79791561333334,523,151
173.60641279,528,145
151.51381237333334,533,143
146.19084770333333,557,167
146.472665825,554,168
117.66248576333334,583,188
362.03384429,509,158
193.02008858,531,146
192.45073373833333,584,199
279.240635,518,145
177.98592566666667,531,153
160.90019346166665,527,143
174.68679546666667,551,146
168.24797442000002,533,151
302.07731913,527,141
435.97232809499997,518,147
397.6564077083333,544,182
472.7348730766666,521,144
122.422528005,558,192
184.80148070333334,530,146
102.723766555,587,204
273.67729221,544,168
272.22241375833335,534,150
239.25390199666666,529,141
179.53018393833332,537,153
383.5874757716666,508,147
183.85325889166666,548,160
137.64269810166667,559,177
321.20010121499996,523,141
307.14234873166663,524,141
369.9966517533333,533,142
375.61149697999997,524,144
451.96159953333336,513,154
160.88531015166666,522,154
412.32259094000005,528,143
165.82732904333332,551,154
211.48994838833335,534,140
340.40545126999996,516,147
342.74351362666664,516,145
199.76118789,524,193
211.39315454666666,562,164
490.95594553,523,148
197.20544701166665,534,151
265.42427613166666,530,155
138.80822496,561,152
164.624754795,499,153
283.4521777433333,529,165
387.42891125,531,144
151.6916861916667,577,178
272.20055016333333,499,153
484.8530250933333,522,152
933.7042236233334,516,165
143.81284402166665,596,161
87.59421985333333,674,253
109.37595507333333,686,178
539.288446595,518,147
270.186851735,527,160
232.17031733333334,561,165
149.44685495166667,561,167
100.87990456833333,696,264
309.4772045466667,531,143
387.68982595333335,518,153
450.7753406233333,525,145
267.72518940833334,523,151
370.09917361333333,501,157
154.31288318833333,547,147
155.63103483499998,554,199
192.06061914666665,545,205
296.56195944166666,526,148
221.25578357166668,527,155
