Objective 1,Objective 2,Objective 3
95.99876796166666,252,116
84.26998734166668,301,167
119.31078835833335,190,94
111.12345001166666,203,93
121.37801604333333,185,98
205.2936409033333,159,72
125.02444677333334,178,83
125.47028315499999,176,92
127.29219801500001,176,85
117.99433098499999,198,90
96.14104189833334,245,120
113.07420936,227,87
98.71376953833334,255,108
97.13298931166666,222,129
124.17447827500001,189,94
142.91980178333336,182,78
171.25555076,152,88
233.36502855833334,141,69
172.69011329666665,171,75
191.787229435,156,79
245.48942509666668,171,66
335.52328762666673,141,59
95.77925866666666,244,128
206.11283192499997,154,73
178.79264389666665,178,72
216.51420188333333,162,70
249.578231345,158,66
223.38234100666668,149,67
323.29865334499993,124,62
198.46757854166668,142,76
171.20568666833333,207,76
679.12820884,113,51
939.751392355,116,49
535.2186936766666,111,53
83.37558221666667,310,167
1660.8924383316667,106,49
321.16231288666665,131,61
1225.87052125,108,51
479.75200447500004,114,54
252.18164198666668,134,67
214.31747355666664,137,71
340.93476480333334,121,63
108.92115365166667,169,102
139.712893635,162,86
164.876880735,151,91
128.32145177333334,165,86
180.10647534833333,146,86
477.6645405216666,110,56
122.76119685833334,167,99
484.0369100766667,110,54
163.53772363166667,157,80
401.73429790166665,120,56
119.08050928833333,199,85
927.6487370583334,105,52
87.10795934833334,280,132
135.49328328833332,193,79
848.7692362833334,106,55
598.647975425,109,54
1608.240009155,108,49
106.74075678999999,204,88
130.14666965333333,169,81
198.018013675,193,69
727.4563151433333,112,51
157.57567740666667,178,79
385.18577128,119,60
1175.724435155,110,50
247.33156382666667,133,72
252.25322644333335,130,73
201.86336713833333,160,73
187.97044856,146,80
210.98794911666667,134,82
920.7344199400001,110,51
1061.5522364983333,112,50
278.8277220333333,121,66
265.31140553333336,132,61
1145.3155826116667,103,53
288.78537263500004,115,67
201.43340216833332,165,73
1287.5228230566668,106,51
342.7201133533334,133,59
1145.3026371649999,102,54
85.85122383833334,243,139
1317.1197013750002,112,49
108.55079269000001,196,119
117.51203981833334,191,97
442.918924105,114,57
370.6682511,122,56
392.15300053666664,116,57
182.21625161,157,75
105.434593465,210,97
724.3797808133334,107,52
249.81618594666668,142,62
159.21490344833333,160,90
104.84158544499999,204,98
117.88243358833333,199,96
462.6570586483333,118,55
133.9816058733333,170,80
116.56271683833334,189,99
175.26598385833333,161,75
117.11862300666667,187,99
307.95825418833334,127,65
99.33922624499999,200,102
695.7385931599999,107,57
157.76888696333333,171,77
113.35548047333334,199,101
438.5781541483334,113,65
444.25223831333335,127,52
1152.898407185,109,51
94.79528381666667,263,125
210.57471109666668,151,71
162.68622434666665,165,84
236.34309673166666,144,68
474.09936603999995,114,56
459.37022149666666,113,62
354.8389218883333,118,61
424.71729351833335,115,60
411.72369132333336,141,55
477.0500372783334,117,51
710.6528160583333,108,53
171.4024646566667,193,76
220.97923132333332,145,69
232.93476791,143,69
2177.341334715,103,51
652.6504062233332,108,55
1428.9147441916666,102,52
1045.1616402916666,104,59
1312.3029487416666,107,50
710.4010649816667,105,56
1334.7912296883333,101,57
1071.7691796583333,104,52
2736.753293898333,100,55
