Objective 1,Objective 2,Objective 3
92.64732274,283,138
95.88685497,270,148
96.63603508,281,135
102.48020496333334,257,119
103.89860113833333,249,121
122.45501069666668,219,105
110.37369704999999,236,104
121.95033440833333,215,106
79.93082446166666,374,176
99.95569440833334,245,126
120.8438246,216,120
98.41951083833332,277,143
105.22821881333334,237,107
117.53550586333334,218,129
147.38810465333336,198,98
96.31501016333334,268,154
95.83237136333334,251,155
87.53580240166666,292,143
97.73183887500001,279,122
114.91147659999999,231,102
132.54492556666668,210,108
133.089809315,207,101
142.31351130833335,205,110
210.95823628833332,189,95
157.70316230166668,203,97
132.987271555,229,100
146.75664539833332,202,119
106.603683275,224,107
168.21196393,188,96
119.83735752833334,227,106
128.71992258333336,209,111
100.06871781333334,227,143
187.55178647333332,190,91
132.242974165,239,100
214.68614738,187,85
95.23309732,283,133
177.04830021,172,96
339.3942122766666,167,86
814.9768443533334,167,82
451.42011629333336,184,77
479.391163015,165,87
118.09267744166667,228,106
670.1923390966667,166,84
759.20430584,162,88
815.1573938516667,162,79
205.68993969666667,194,89
133.27590591166665,208,98
660.7953474166666,165,86
167.07698725166668,192,93
233.60592550166666,174,83
314.28625751833334,168,87
181.6297429216667,191,92
188.54748875,191,90
146.702049545,205,92
218.53929082500002,187,84
213.90412429833333,187,87
584.1412718883333,167,83
414.52043396833335,168,80
217.439447895,172,88
260.7027390216667,171,88
1214.379781156667,162,78
1656.2578711216668,162,77
1678.9783717366665,164,73
898.6240651133332,168,78
262.22243599,168,91
314.83606803,170,78
304.485654755,178,78
865.0260386533333,169,78
99.09095435666667,274,143
359.723799205,168,85
262.94336233,175,82
292.3422138016667,173,80
100.66106610666665,232,122
1181.2912383649998,165,75
651.3689332916667,180,77
677.1887383000001,168,79
1086.7978117633334,167,76
679.991159285,164,95
466.2662980333333,166,92
84.83621041833334,335,179
1098.760548745,166,75
990.6865008066667,169,76
699.0162551166666,171,76
257.5989780516667,180,82
