Iterations,Avg_StackingTime, Manpower, Forklifts, Avg_StackingTime_At_Gate,Avg_StackingTime_At_Inbound, Avg_StackingTime_At_Outbound,
2183,132.45,167,68,30.45,68.62,33.38,0.89
2184,146.51,168,68,30.33,64.25,51.93,0.65
2185,115.7,169,68,30.32,60.82,24.56,0.5
2186,105.28,169,68,30.3,52.59,22.38,0.13
2187,148.09,169,68,30.17,68.26,49.66,0.57
2188,127.4,169,68,30.31,67.2,29.88,0.5
2189,106.66,169,68,30.36,54.3,22,0.23
2190,114.65,169,68,30.17,58.46,26.03,0.87
2191,117.61,170,67,30.33,62.71,24.58,0.74
2192,115.88,170,67,30.16,62.89,22.83,0.35
2193,123.6,169,68,30.22,68.96,24.42,0.96
2194,156.06,170,67,30.1,66.21,59.75,0.37
2195,122.22,168,67,30.17,65.9,26.15,0.86
2196,108.78,168,67,30.07,52.25,26.47,0.2
2197,123.96,169,67,30.1,65.93,27.92,0.45
2198,121.16,169,67,30.1,64.84,26.23,0.25
2199,141.82,168,67,30.17,53.62,58.03,0.54
2200,122.86,169,67,30.19,66.7,25.96,0.46
2201,128.65,168,67,30.25,67.83,30.58,0.49
2202,122.18,168,67,30.24,63.68,28.25,0.09
2203,117.32,167,67,29.83,62.8,24.7,0.57
2204,153.31,169,67,29.72,53.56,70.02,0.32
2205,127.36,168,67,30.24,72.79,24.33,0.77
2206,146.24,168,67,30.23,88.19,27.82,0.38
2207,136.4,168,67,30.25,49.95,56.2,0.22
2208,124.5,169,67,29.85,66.6,28.05,0.31
2209,142.07,168,67,30.21,54.45,57.4,0.22
2210,115.46,168,68,30.27,58.54,26.65,0.58
2211,111.45,169,67,30.17,55.55,25.73,0.66
2212,141.1,169,68,30.11,56.2,54.79,0.41
2213,120.6,168,68,30.14,63.72,26.75,0.44
2214,120.48,168,68,30.09,66.22,24.17,0.89
2215,116.72,168,68,30.1,59.65,26.98,0.31
2216,121.04,168,69,30.05,67.89,23.1,0.58
2217,102.93,168,69,30.12,52.85,19.95,0.14
2218,126.27,169,69,30.06,69.77,26.45,0.48
2219,157.95,168,69,30.01,69.78,58.17,0.79
2220,132.62,168,69,30.18,74.26,28.19,0.59
2221,122.75,169,69,30.04,68.41,24.3,0.29
2222,160.36,167,69,29.5,68.95,61.91,0.77
2223,124.26,166,69,29.52,72.44,22.3,0.65
2224,142.33,166,69,29.51,56.07,56.74,0.24
2225,105.7,166,69,29.52,54.09,22.09,0.64
2226,161.24,166,68,30,66.4,64.85,0.82
2227,120.09,165,69,29.47,64.51,26.12,0.72
2228,148.42,165,69,29.51,63.45,55.46,0.27
2229,113.57,165,68,29.5,57.36,26.71,0.52
2230,104.02,165,69,29.43,52.09,22.5,0.45
2231,115.58,167,67,29.49,62.51,23.58,0.95
2232,129.84,165,67,29.19,57.05,43.61,0.41
2233,109.53,165,68,29.27,58.28,21.98,0.57
2234,158.19,166,67,29.33,69.89,58.97,0.97
2235,124.3,165,67,29.26,69.76,25.29,0.78
2236,114.96,166,68,29.17,57.59,28.2,0.98
2237,123.12,165,67,29.13,69.49,24.5,0.48
2238,147.52,165,68,29.21,61.47,56.84,0.62
2239,117.82,165,67,29.22,61.06,27.53,0.19
2240,117.92,165,68,29.21,60.7,28.01,0.2
2241,132.85,165,68,29.22,72.62,31.01,0.11
2242,171.35,165,68,29.11,67.54,74.71,0.3
2243,114.1,165,68,29.11,59.23,25.76,0.12
2244,110.86,165,68,29.11,54,27.76,0.2
2245,119.68,164,68,29.18,64.44,26.06,0.46
2246,117.44,165,66,29.29,58.76,29.39,0.39
2247,120.98,166,66,29.2,70.59,21.19,0.69
2248,120.57,165,66,29.19,66.25,25.13,0.61
2249,118.21,165,66,29.19,64.95,24.07,0.13
2250,115.28,166,67,29.18,62.42,23.67,0.5
2251,157.89,165,66,29.23,67.76,60.9,0.94
2252,146.66,165,67,29.18,64.99,52.5,0.43
2253,149.81,165,66,29.31,58.42,62.08,0.67
2254,118.79,165,66,29.27,63.99,25.53,0.78
2255,108.93,165,66,29.24,52.41,27.28,0.4
2256,118.3,165,66,29.16,60.96,28.18,0.81
2257,113.99,165,66,29.11,57.23,27.65,0.32
2258,127.55,165,67,29.19,70.17,28.19,0.96
2259,123.91,165,67,29.17,65.14,29.6,0.43
2260,161.88,164,67,29.13,53.43,79.32,0.47
2261,120.06,165,67,29.12,58.42,32.53,0.49
2262,115.91,166,67,29.25,61.95,24.71,0.73
2263,114.51,166,67,29.19,55.9,29.42,0.22
2264,138.81,166,67,29.22,64.33,45.26,0.24
2265,108.47,165,67,29.35,52.51,26.61,0.28
2266,117.39,165,67,29.34,60.86,27.19,0.34
2267,126.47,166,67,29.25,72.48,24.74,0.32
2268,118.41,165,66,29.35,63.26,25.8,0.87
2269,159.38,166,66,29.33,68.66,61.39,0.29
2270,121.9,166,67,29.37,64.5,28.03,0.14
2271,131.3,165,66,29.43,71.75,30.12,0.21
2272,122.86,165,66,29.3,64.56,29,0.8
2273,114.18,165,66,29.29,60.06,24.84,0.58
2274,149.7,167,66,29.27,46.62,73.81,0.53
2275,136.61,167,66,29.18,79.54,27.88,0.83
2276,172.97,167,66,29.15,67.26,76.56,0.25
2277,126.82,166,66,29.08,66.98,30.75,0.49
2278,120.81,165,66,29.16,62.02,29.63,0.47
2279,113.43,165,66,29.18,56.91,27.35,0.53
2280,131.99,165,66,29.2,71.98,30.81,0.23
2281,117.41,167,66,29.2,61.84,26.38,0.29
2282,111.24,166,66,29.2,44.98,37.06,0.7
2283,149.47,166,65,29.16,84.22,36.09,0.88
2284,114.98,166,66,29.05,61.95,23.98,0.71
2285,165.48,166,65,29.15,78.28,58.05,0.58
2286,115.71,165,65,29.42,61.44,24.84,0.71
2287,119.73,166,65,29.18,66.66,23.89,0.27
2288,124.22,167,66,29.18,67.91,27.13,0.29
2289,114.41,167,65,29.12,56.74,28.56,0.63
2290,121.61,167,65,29.2,58.01,34.41,0.39
2291,121.71,167,65,29.18,64.78,27.75,0.28
2292,159.29,167,65,29.41,60.83,69.04,0.52
2293,163.01,166,65,29.42,68.91,64.68,0.66
2294,123.08,166,65,29.46,63.9,29.72,0.39
2295,123.63,166,65,29.45,68.57,25.62,0.15
2296,115.66,167,65,29.41,59.55,26.7,0.6
2297,121.9,167,65,29.4,68.3,24.21,0.46
2298,127.88,166,65,29.38,61.9,36.6,0.55
2299,144.39,166,65,29.37,55.31,59.71,0.13
2300,165.56,167,65,29.27,76.64,59.66,0.66
2301,120.15,167,65,29.29,58.02,32.84,0.18
2302,130.23,167,66,29.29,73,27.94,0.21
2303,127.03,167,65,29.22,70.96,26.86,0.61
2304,129.18,167,65,29.2,72.26,27.71,0.05
2305,167.69,167,65,29.18,67.18,71.33,0.21
2306,132.55,166,65,29.27,73.63,29.65,0.47
2307,149.63,166,66,29.22,50.26,70.15,0.57
2308,125.59,166,66,29.26,70.32,26.01,0.09
2309,116.48,166,66,29.24,64.56,22.68,0.56
2310,134.44,166,66,29.21,58.19,47.04,0.16
2311,125.95,165,66,29.26,70.24,26.45,0.36
2312,135.73,166,66,29.25,79.66,26.82,0.58
2313,126.79,166,66,29.27,69.43,28.09,0.16
2314,111.4,166,66,29.38,53.66,28.36,0.5
2315,116.21,167,66,29.34,63.14,23.72,0.57
2316,120.08,166,66,29.34,67.21,23.53,0.85
2317,109.83,166,66,29.3,60.42,20.12,0.34
2318,117.57,167,67,29.29,65.35,22.92,0.44
2319,157.81,167,67,29.32,56,72.49,0.21
2320,122.53,167,66,29.32,70.17,23.04,0.56
2321,110.43,167,66,29.36,55.3,25.77,0.62
2322,157.75,167,66,29.45,73.12,55.18,0.56
2323,122.55,167,66,29.3,67.95,25.3,0.44
2324,155.19,167,66,29.51,62.32,63.36,0.18
2325,106.32,167,67,29.37,52.66,24.28,0.71
2326,156.5,166,66,29.41,66.68,60.41,0.45
2327,122.76,166,66,29.3,64.86,28.6,0.56
2328,121.8,167,66,29.39,63.43,28.98,0.62
2329,126.44,167,67,29.35,72.5,24.59,0.31
2330,127.59,165,66,29.4,72.02,26.17,0.77
2331,147.61,165,66,29.4,51.79,66.42,0.55
2332,120.53,166,65,29.22,68.26,23.06,0.79
2333,127.29,165,66,29.42,75.08,22.79,0.66
2334,122.17,165,66,29.52,66.91,25.74,0.36
2335,124.36,166,66,29.52,68.01,26.83,0.35
2336,159.34,165,66,29.49,69.98,59.86,0.27
2337,156.82,165,66,29.5,67.08,60.24,0.73
2338,108.61,164,66,29.44,55.05,24.11,0.28
2339,132.93,165,66,29.47,78.65,24.81,0.09
2340,146.59,165,66,29.42,83.53,33.65,0.55
2341,124.62,166,66,29.51,71.66,23.45,1
2342,112.7,166,67,29.48,55.85,27.38,0.34
2343,169.89,167,66,29.53,66.26,74.1,0.7
2344,119.95,167,66,29.49,67.3,23.16,0.52
2345,180.09,167,66,29.47,72.88,77.74,0.38
2346,162.5,167,66,29.46,77.14,55.9,0.48
2347,108.62,167,66,29.48,59.23,19.91,0.13
2348,118.7,166,66,29.4,64.73,24.57,0.38
2349,153.46,167,66,29.16,60.88,63.42,0.73
2350,141.82,167,66,29.46,68.87,43.5,0.66
2351,121.25,167,66,29.42,68.33,23.5,0.17
2352,107.71,166,66,29.2,52.82,25.69,0.78
2353,155.33,165,66,29.37,69.26,56.7,0.56
2354,135.06,165,66,29.27,80.17,25.62,0.77
2355,111.16,166,65,29.12,59.83,22.22,0.63
2356,119.15,165,66,29.21,70.31,19.63,0.45
2357,157.92,165,66,29.21,58.88,69.82,0.65
2358,153.39,165,66,29.22,67.15,57.02,0.21
2359,123.48,165,66,29.16,68,26.32,0.37
2360,163.36,164,65,29.46,63.67,70.23,0.67
2361,106.75,164,65,29.44,57.25,20.06,0.32
2362,157.36,164,65,29.4,70.15,57.8,0.53
2363,125.36,164,65,29.3,72.54,23.52,0.35
2364,114.81,164,65,29.37,59.45,25.99,0.43
2365,121.9,165,65,29.38,69.9,22.61,0.6
2366,117.91,166,65,29.37,64.98,23.56,0.94
2367,122.24,164,65,29.24,68.02,24.98,0.68
2368,125.56,164,65,29.22,68.54,27.79,0.38
2369,165.31,164,65,29.27,58.56,77.48,0.41
2370,126.06,164,65,29.25,71.14,25.67,0.31
2371,176.57,166,66,29.15,77.26,70.16,0.56
2372,125.89,164,66,29.16,72.19,24.55,0.73
2373,120.4,165,66,29.17,68.85,22.38,0.49
2374,117.97,164,66,29.24,65.01,23.72,0.3
2375,112.76,164,65,29.11,60.29,23.36,0.62
2376,158.23,165,64,29.18,73.09,55.96,0.42
2377,108.1,165,65,29.2,58.18,20.71,0.24
2378,135.9,164,65,29.21,57.14,49.55,0.46
2379,110.48,165,65,29.18,60.11,21.19,0.96
2380,113.62,165,65,29.17,59.58,24.87,0.58
2381,113,165,65,29.22,59.7,24.08,0.33
2382,173.14,165,65,29.22,71.99,71.93,0.24
2383,118.5,165,65,29.21,65.64,23.66,0.4
2384,115.37,165,65,29.22,65.72,20.43,0.29
2385,115.53,165,65,29.11,62.47,23.95,0.55
2386,112.09,164,66,29.1,59.35,23.65,0.44
2387,102.04,164,66,29.08,48.12,24.84,0.66
2388,114.75,164,66,29.1,62.96,22.68,0.2
2389,124.76,165,66,29.07,70.36,25.33,0.63
2390,165.87,165,66,29.15,60.8,75.92,0.47
2391,125.75,166,66,29.35,68.28,28.12,0.28
2392,120.11,165,66,29.32,65.19,25.59,0.62
2393,112.51,165,66,29.33,60.19,22.98,0.52
2394,126.71,165,66,29.33,62.84,34.55,0.11
2395,106.52,164,66,29.29,51.45,25.77,0.62
2396,158.6,163,66,29.3,73.02,56.29,0.89
2397,158.4,163,66,29.41,65.51,63.48,0.73
2398,113.17,163,66,29.39,51.56,32.22,0.07
2399,145.15,163,66,29.82,61.27,54.05,0.35
2400,112.63,163,66,29.83,61.01,21.79,0.32
2401,119.57,164,66,29.29,66.32,23.95,0.84
2402,163.11,163,66,29.74,81.35,52.01,0.87
2403,99.33,163,65,29.59,42.08,27.66,0.31
2404,114.29,163,65,29.31,54.63,30.34,0.32
2405,115.93,163,66,29.71,64.44,21.78,0.4
2406,98.96,162,65,29.31,47.9,21.75,0.5
2407,168.8,162,65,29.34,70.58,68.89,0.54
2408,146.84,163,66,29.32,58.29,59.23,0.37
2409,124.19,162,65,29.3,73.54,21.35,0.49
2410,127.1,161,65,29.3,77.28,20.52,0.22
2411,147.57,161,65,29.61,61.35,56.62,0.71
2412,130.87,161,65,29.64,73.84,27.4,0.15
2413,125.03,163,65,29.72,68.63,26.68,1
2414,110.41,162,65,29.4,58.9,22.1,0.58
2415,124.07,161,65,29.38,68.09,26.6,0.79
2416,112.96,161,65,29.36,60.08,23.51,0.49
2417,163.11,161,65,29.35,64.29,69.48,0.27
2418,112.53,161,66,29.34,59.83,23.35,0.83
2419,129.66,161,65,29.33,69.57,30.76,0.42
2420,167.69,161,65,29.37,73.29,65.03,0.51
2421,160.3,161,65,29.35,66.6,64.35,0.46
2422,168.63,162,65,29.31,66.46,72.86,0.74
2423,131.2,163,65,29.3,77.28,24.63,0.6
2424,111.31,163,65,29.12,61.34,20.85,0.36
2425,102.29,162,65,29.31,50.93,22.04,0.4
2426,119.07,162,65,29.11,65.66,24.3,0.52
2427,123.57,162,65,29.36,67.57,26.64,0.65
2428,117.88,162,66,29.08,64.39,24.42,0.32
2429,115.31,162,66,29.22,60.02,26.07,0.05
2430,161.29,162,65,29.25,64.87,67.18,0.12
2431,111.64,162,65,29.37,57.25,25.02,0.49
2432,122.94,162,66,29.36,69.15,24.44,0.24
2433,145.49,162,66,29.07,64.55,51.86,0.34
2434,121.98,162,65,29.12,70.21,22.65,0.26
2435,149.63,162,66,29.27,52.56,67.8,0.43
