Iterations,Avg_StackingTime, Manpower, Forklifts, Avg_StackingTime_At_Gate,Avg_StackingTime_At_Inbound, Avg_StackingTime_At_Outbound,
2436,119.97,162,66,29.13,69.61,21.22,0.47
2437,118.82,162,66,29.12,66.28,23.42,0.77
2438,119.6,162,66,29.12,68.11,22.37,0.22
2439,144.59,162,66,29.14,60.81,54.64,0.25
2440,169.62,162,66,29.1,69.26,71.26,0.42
2441,103.52,162,66,29.13,49.95,24.44,0.35
2442,112.99,161,66,29.09,58.92,24.97,0.83
2443,127.06,162,66,29.32,75.19,22.54,0.39
2444,119.95,162,66,29.25,67.23,23.47,0.12
2445,115.53,161,66,29.36,63.77,22.4,0.75
2446,121.13,162,66,29.39,60.54,31.2,0.78
2447,129.5,162,66,29.61,72.96,26.92,0.7
2448,126.61,162,66,29.62,71.29,25.7,0.14
2449,136.96,161,66,29.22,49.38,58.36,0.8
2450,161.61,160,65,29.25,72.31,60.05,0.25
2451,154.65,161,65,29.19,68.76,56.7,0.74
2452,105.76,161,65,29.12,49,27.64,0.35
2453,117.98,161,65,29.52,63.66,24.8,0.72
2454,109.9,160,64,29.51,56.17,24.22,0.37
2455,119.15,160,65,29.76,64.45,24.94,0.32
2456,125.07,160,65,29.72,70.6,24.76,0.98
2457,130.64,162,65,29.58,67.11,33.95,0.24
2458,122.62,159,65,29.73,66.63,26.26,0.73
2459,121.27,159,65,29.58,66.32,25.37,0.63
2460,121.11,159,65,29.56,66.39,25.16,0.32
2461,122.39,160,65,29.61,69.4,23.37,0.54
2462,144.15,160,65,29.7,57.73,56.72,0.66
2463,159.37,161,65,29.67,67.3,62.4,0.14
2464,116.31,160,65,29.62,64.09,22.6,0.8
2465,142.11,159,65,29.85,55.03,57.23,0.55
2466,112.01,161,65,29.89,59.07,23.05,0.21
2467,108.6,160,65,29.85,54.51,24.24,0.45
2468,123.24,160,65,29.57,70.41,23.27,0.93
2469,163.08,160,65,29.56,66.56,66.96,0.38
2470,114.15,160,64,29.59,63.63,20.93,0.67
2471,105.81,160,64,29.68,53.5,22.63,0.35
2472,124.13,161,64,29.56,66.21,28.36,0.27
2473,114.71,160,65,29.58,62.53,22.6,0.64
2474,125.84,160,64,29.65,69.18,27.02,0.54
2475,125.14,159,64,29.65,71.65,23.84,0.35
2476,161.95,159,64,29.55,64.76,67.65,0.68
2477,124.41,160,65,29.57,66.21,28.62,0.47
2478,137.28,159,64,29.62,76.44,31.22,0.31
2479,126.6,161,65,29.49,55.34,41.77,0.61
2480,126.59,161,64,29.6,74.13,22.86,0.29
2481,115.2,161,65,29.3,64.12,21.77,0.87
2482,134.14,161,64,29.54,72.64,31.97,0.83
2483,114.78,160,65,29.55,58.53,26.69,0.35
2484,123.19,160,64,29.65,67.63,25.91,0.65
2485,116.7,160,65,29.61,60.94,26.15,0.36
2486,119.92,160,64,29.63,65.36,24.94,0.47
2487,110.83,160,65,29.61,55.49,25.73,0.12
2488,166.01,160,64,29.62,63.51,72.87,0.09
2489,118.2,160,65,29.65,57.35,31.2,0.63
2490,155.46,160,65,29.62,62.29,63.54,0.5
2491,153.54,161,65,29.7,65.31,58.53,0.51
2492,118.5,161,65,29.72,64.2,24.59,0.57
2493,124.52,160,65,29.62,64.89,30,0.52
2494,114.98,162,65,29.62,58.01,27.35,0.35
2495,131.1,160,65,29.7,72.72,28.68,0.83
2496,121.35,160,65,29.7,67.36,24.29,0.03
2497,117.89,161,64,29.7,61.85,26.34,0.81
2498,123.85,161,64,29.69,57.98,36.19,0.14
2499,123.28,161,64,29.68,65.97,27.63,0.78
2500,126.44,161,64,29.44,63.94,33.05,0.75
2501,124.45,161,64,29.72,67.79,26.93,0.11
2502,121.5,161,64,29.68,62.26,29.57,0.45
2503,164.91,161,64,29.58,60.58,74.75,0.24
2504,146.05,161,64,29.59,57.85,58.61,0.29
2505,147.06,161,63,29.31,59.98,57.78,0.87
2506,121.51,161,64,29.29,64.72,27.5,0.68
2507,119.63,162,64,29.31,60.4,29.92,0.39
2508,126.78,161,64,29.33,64.12,33.34,0.35
2509,113.03,161,64,29.31,56.3,27.43,0.37
2510,105.75,162,64,29.32,48.74,27.7,0.15
2511,161.89,161,65,29.09,61.61,71.18,0.34
2512,121.82,162,64,29.3,63.41,29.11,0.38
2513,165.25,161,64,29.2,68.01,68.05,0.17
2514,126.69,162,65,29.21,62.59,34.88,0.55
2515,111.8,162,66,29.22,55.16,27.42,0.32
2516,109.48,162,66,29.21,56.08,24.18,0.25
2517,148.81,160,66,29.24,60.42,59.15,0.53
2518,131.87,161,65,29.25,77.11,25.51,0.9
2519,170.26,161,64,29.19,81.29,59.78,0.7
2520,119.11,162,64,29.2,63.28,26.63,0.9
2521,107.33,162,64,29.2,50.03,28.11,0.09
2522,116.42,163,64,29.26,58.85,28.31,0.54
2523,119.49,162,64,29.23,62.53,27.74,0.39
2524,117.77,162,64,29.21,61.55,27.01,0.25
2525,119.75,162,64,29.22,64.69,25.84,0.66
2526,150.19,161,64,29.09,65.34,55.75,0.61
2527,136.14,161,64,29.22,80.3,26.61,0.43
2528,116.07,161,64,29.05,63.48,23.54,0.56
2529,125.09,162,64,29.32,67.69,28.08,0.7
2530,108.71,161,65,29.38,54.33,25,0.81
2531,163.29,162,64,29.45,59.5,74.34,0.59
2532,119.77,162,65,29.2,58.32,32.25,0.8
2533,116.66,161,65,29.46,63.28,23.92,0.47
2534,124.04,161,65,29.46,73.02,21.56,0.34
2535,126.75,161,65,29.26,65.86,31.63,0.39
2536,128.83,160,65,29.33,64.42,35.07,0.58
2537,125.66,162,64,29.49,73.28,22.9,0.73
2538,131.6,161,65,29.23,68.59,33.78,0.51
2539,162.94,162,64,29.75,59.76,73.43,0.46
2540,118.59,161,63,29.56,58.5,30.53,0.8
2541,126.5,160,64,29.54,61.09,35.87,0.89
2542,119.36,160,64,29.57,66.4,23.39,0.44
2543,129.3,160,63,29.39,76.11,23.8,0.85
2544,115.75,160,63,29.44,58.74,27.57,0.93
2545,177.91,160,63,29.42,66.47,82.02,0.68
2546,122.87,160,63,29.3,67.69,25.89,0.71
2547,123.58,160,63,29.27,69.3,25.01,0.84
2548,121.63,160,63,29.29,66,26.34,0.25
2549,123.77,160,64,29.3,62.9,31.58,0.59
2550,124.76,160,64,29.28,67.7,27.78,0.17
2551,130.83,160,64,29.3,73.34,28.19,0.28
2552,114.86,160,63,29.33,59.73,25.8,0.6
2553,123.1,161,63,29.33,69.93,23.84,0.49
2554,127.67,161,63,29.31,72.29,26.06,0.3
2555,120.03,160,64,29.26,65.11,25.66,0.72
2556,166.27,159,63,29.22,68.39,68.66,0.88
2557,121.45,159,63,29.24,69.04,23.17,0.26
2558,122.02,160,63,29.23,67.35,25.45,0.45
2559,175.03,159,63,29.36,67.97,77.7,0.28
2560,116.67,159,63,29.1,62.41,25.16,0.31
2561,127.85,160,63,29.3,71.61,26.95,0.79
2562,161.49,160,63,29.24,72.04,60.21,0.19
2563,130.54,160,63,29.18,73.49,27.88,0.66
2564,174.64,160,63,29.31,74.65,70.68,0.46
2565,122.41,159,63,29.29,62.23,30.88,0.23
2566,121.23,160,63,29.35,69.9,21.98,0.46
2567,122.89,160,63,29.22,66.55,27.12,0.06
2568,114.16,160,63,29.32,56.01,28.84,0.63
2569,114.84,159,63,29.24,62.61,22.98,0.4
2570,121.93,160,63,29.49,65.7,26.75,0.89
2571,158.51,161,63,29.4,53.88,75.23,0.89
2572,125.2,160,63,29.43,66.29,29.49,0.53
2573,122.3,160,63,29.39,59.81,33.1,0.45
2574,121.81,161,63,29.39,65.23,27.2,1
2575,159.66,160,63,29.36,68.48,61.82,0.43
2576,149.66,160,63,29.45,64.79,55.42,0.96
2577,125.66,160,63,29.51,59.89,36.27,0.51
2578,160.7,161,63,29.62,59.81,71.27,0.89
2579,159.14,160,63,29.52,66.85,62.77,0.83
2580,138.27,158,63,29.55,74.33,34.39,0.55
2581,124.49,159,63,29.54,68.15,26.8,0.67
2582,119.18,159,63,29.48,60.93,28.77,0.06
2583,115.79,158,62,29.57,59.37,26.86,0.79
2584,120.61,158,62,29.66,64.44,26.51,0.58
2585,118.9,158,63,29.59,63.03,26.27,0.46
2586,119.57,158,63,29.66,64.48,25.43,0.33
2587,120.35,157,63,29.61,63.84,26.9,0.26
2588,107.86,157,63,29.58,51.51,26.77,0.48
2589,130.78,157,62,29.71,66.94,34.13,0.84
