Objective 1,Objective 2,Objective 3
90.01076113,351,175
92.09902958166667,316,160
92.42867298499999,272,126
108.26438152333333,248,116
101.50322075,255,120
103.69601463000001,250,131
97.31963153,257,124
109.50287174166667,236,117
106.09497551166666,263,115
113.69114529333334,242,111
105.04686958833332,252,118
102.10416452333332,260,116
103.60545386333334,251,129
110.64991650833333,251,114
108.45363037666667,281,114
106.4698916,254,116
127.05224695,238,114
99.44773169000001,266,119
129.894252435,232,114
94.667028335,253,138
104.17780140666667,240,124
106.91493331666666,245,122
124.94213019333333,243,107
145.28954412166667,233,112
265.84652824166665,224,127
194.065421625,228,112
148.76744108333332,232,109
361.6521646466666,243,104
123.60110154333333,230,118
188.128047745,228,114
143.26174437833333,234,113
118.69610093499999,233,122
145.16062064166667,226,119
134.930131025,235,109
171.47435366666667,235,106
119.26195338833332,232,116
117.56755208333333,246,107
126.78970560666667,240,112
149.70247475,238,108
151.88186310999998,229,109
311.5652217516666,247,103
