Objective 1,Objective 2,Objective 3
1470.8225234216668,613,255
1269.6931746100001,613,251
228.09726547333332,669,262
586.4069495683334,614,213
118.32014635833332,713,231
871.9477300516668,596,207
105.51322147666667,744,257
125.50290785666667,659,266
180.824574545,670,214
1454.6142184666664,599,194
119.89020037166667,633,211
151.67566340333332,625,217
186.44864700166667,625,196
253.51358567166668,620,207
266.33201913833335,631,182
138.08948726666665,649,221
138.51065336166667,678,265
163.51994809333334,664,262
178.88944462,670,213
146.48017971833332,625,198
206.491360245,615,248
166.71193571333333,624,185
290.9156428033333,647,186
176.03749625166665,623,187
111.79207186666666,768,257
413.02988273000005,623,191
149.63299353666667,643,194
534.881946955,585,189
124.61377949666667,675,260
115.10896634666668,730,228
109.25136221333332,741,245
113.78576557,708,257
150.51446433666666,655,274
174.04886031666666,635,187
93.10868453833334,850,270
177.34116987666667,623,189
306.04047098166666,631,192
135.32748743166667,667,229
237.751797185,758,258
125.964454605,703,275
144.57761210166666,664,267
1397.7265477433334,599,196
427.07330622999996,603,189
1356.6196601183335,615,197
434.03314450666664,617,192
148.12500553333334,609,205
139.30859869666668,698,237
388.948587105,606,199
139.00176983666665,677,211
369.1119250766667,614,191
185.16930713333332,607,191
154.96197583,623,193
159.9285720133333,628,205
117.38583267166666,709,270
408.38004977500003,603,197
410.706032545,691,238
310.08701173,690,234
253.73419414833336,676,213
332.84392034833337,591,209
154.35116513999998,639,225
171.91037667,621,204
580.1512460916666,602,194
358.45577227333337,647,189
202.54284607833333,619,192
308.82032340166666,605,223
128.98695591833334,718,233
430.00627870166664,694,244
300.72600510333336,664,211
203.27835740833333,673,266
104.62873557333333,704,239
244.55345107166664,702,239
131.01850081666666,717,265
368.3021145333334,679,203
159.593322585,622,200
140.093254435,643,216
121.82408019166667,677,239
135.43607139333332,691,254
215.98998662166667,611,211
239.03534612333334,604,220
198.98276253,694,240
467.7670260533334,687,237
276.47422627,723,223
210.95815989666667,653,229
203.24254429,648,216
128.14278239833334,638,206
234.91924055833334,634,208
121.20881857333333,683,267
935.1863114299999,615,250
331.0032737666666,636,190
150.03121329666666,665,270
125.50605049333333,806,279
121.86683923666668,698,281
156.30577684,650,279
113.73285154166666,717,252
636.52564115,605,202
123.19737504000001,713,273
362.15376414,634,197
584.6905085733333,607,195
450.8902217866667,621,244
286.5956150466667,641,252
230.53241822666666,628,212
374.89620717500003,617,215
119.09625086333332,700,244
121.54709102833334,697,226
460.9512370916667,624,184
379.09813067500005,623,189
310.5704648066667,763,285
224.430543215,723,261
179.80050948000002,663,273
882.7123420216667,607,217
268.13984382833337,693,262
145.58835656833332,649,198
257.26566254,624,189
133.99450338333332,747,273
1017.6845678483334,622,179
780.1064849816667,683,220
291.9295228533333,640,245
238.84950426666668,625,214
114.51071374833333,693,263
98.41131431833332,783,276
144.44391859833334,634,188
195.41088467833333,639,203
252.25900232499998,713,239
365.17331822666665,616,183
569.1630836333333,652,246
357.78932580833333,639,264
264.6953077566667,691,249
645.5356903183333,622,180
107.23303516499999,740,236
326.7716303983334,688,246
981.397697055,651,186
97.506067885,790,266
117.75943300833333,797,251
303.95284365666663,631,258
590.4778006283334,644,188
127.07731893333333,716,275
139.23352264333334,723,274
406.74527509999996,668,194
205.37075508833334,644,211
321.24153594,674,180
911.6328104133333,612,186
619.5487407033334,615,199
123.91635235,692,263
829.7606448883333,606,208
157.23591623833335,694,265
698.6514523950001,655,187
682.3040716500001,633,191
676.5021265316666,617,186
834.8981998449999,680,177
918.2768507233333,612,213
207.74214537333333,615,191
1353.2276675283333,593,204
155.13645817333332,659,277
188.95517386166668,719,236
341.5122535333333,621,209
120.52943732999998,698,217
381.2367798216667,649,207
489.2490987216667,641,209
493.45320194333334,650,203
374.32083582333337,612,186
228.17734566833334,696,244
179.29365741,621,201
282.9090393366667,641,193
391.0953464916667,648,250
222.93279022833335,710,219
736.8415496533333,678,177
389.1816400866667,690,238
214.92852770500002,622,198
126.55754665333333,697,241
1729.1568602483333,607,192
126.76195041333332,697,286
358.75309941666666,596,194
396.2539769333333,621,192
679.7280755216667,610,195
770.1077058916667,619,187
205.39126733833336,618,193
106.80286314333333,806,265
433.839061165,663,187
140.22806483333332,631,213
784.7581227566667,650,187
334.8744418833333,629,195
118.83253626833334,679,258
181.62685042166666,686,243
210.28694552166667,696,244
108.635040035,686,260
443.68009261333333,605,192
491.28652334833333,691,212
313.35162742833336,624,192
1332.2893833083335,613,206
1410.4200270233332,639,210
224.70198607666669,606,210
613.980886735,654,199
957.9460283133334,605,180
271.64203904666664,689,237
461.89905933166665,675,247
149.81236911666667,658,233
486.36054560499997,664,211
432.62936449333336,566,181
480.13559756666666,652,215
449.9507043,656,245
299.07807944166666,626,267
336.41450805166664,663,186
138.93147583333334,638,275
143.95946199166667,633,194
421.20107350666666,658,219
189.22158664833336,645,271
104.24596540666667,735,278
148.608979395,659,191
367.494087055,689,249
228.86748168499997,600,275
153.11366564,614,205
493.6393781633333,580,182
128.6852026166667,754,268
299.9304863433333,620,190
292.3575520383333,616,200
646.2678880733333,663,207
135.55961836166665,694,278
117.08954529666667,797,279
289.31220716999997,604,208
288.60799769,697,244
461.2739765333334,609,192
136.96074958833333,644,207
134.19873457666665,674,281
191.49280091833333,603,210
119.05239231,749,270
152.65184313833333,656,285
105.49249430166667,759,266
329.34166982,602,210
276.48919810666666,642,187
758.1711416483333,674,179
409.51124103666666,611,208
125.47131454500001,724,260
603.165883545,610,216
435.21305049166665,603,207
143.6332218,656,281
321.1645671466667,603,214
111.50587254666667,740,256
91.67198872833332,835,280
181.44051275833334,634,256
945.6464955166666,627,206
273.52868706333334,692,239
116.98428717666667,743,267
214.04251396833334,619,276
283.589654485,697,238
837.5452807333334,647,193
244.9880549383333,665,219
330.5839090283334,624,225
109.13991968833332,709,248
124.13433924166667,707,274
102.26399554,735,252
171.40610169666667,742,260
299.527311895,646,189
299.90375614666664,672,246
269.37480016,659,214
165.10955417,616,223
586.82861786,612,190
433.08098060833333,701,234
617.811072645,609,191
463.0568227683334,617,188
1087.9283888083335,685,177
126.54855973,681,269
300.009987735,647,227
666.03198952,663,177
181.07482964,640,269
117.36481512000002,723,237
277.10056935166665,629,183
109.04258070833335,759,264
186.51600178166666,647,274
630.1155251666667,653,181
101.02047300833333,822,267
219.29612644666668,623,233
