Objective 1,Objective 2,Objective 3
568.9254967116667,535,167
814.4419224599999,543,161
1862.28518573,542,176
2254.1306926400002,529,167
460.286633595,551,159
2002.9808539466667,536,173
890.4785437166666,547,164
474.53872074500003,541,172
879.7978940033333,532,168
416.2198552883333,551,169
480.20203912499994,547,163
543.0322448033334,537,169
375.2071532283333,544,172
432.523199395,599,163
507.1842468316667,531,160
99.89733353833333,709,235
286.4263944666667,561,191
432.1321027916667,561,192
94.95729709166666,751,241
789.9916307450001,528,197
385.81300461666666,534,196
322.95947510166667,540,176
621.0602935383332,543,168
912.2385268166668,534,191
330.03332290000003,544,169
565.8848898066667,548,194
753.0020498616666,548,160
967.0359053633334,542,163
1109.3358600016666,525,188
594.486589025,553,191
187.811120445,551,170
124.145968275,645,193
987.15048494,544,156
605.6239943300001,539,168
765.2455134916665,548,177
373.80384086833334,553,172
800.8411131900001,559,156
655.9466895099999,541,164
771.0536330266667,564,192
753.8464853549999,592,160
765.8996415783332,590,151
1166.9043399366665,599,163
556.694527485,546,163
260.4137342133333,579,178
1075.46177075,535,162
141.960822295,609,189
155.314495755,594,168
637.0643973983333,542,166
607.88136955,526,173
556.1719595866667,536,182
494.10190986833334,562,198
201.53612030666667,566,171
552.816421225,540,175
422.44352211999995,543,165
475.38517009,547,172
483.76237542666667,530,174
188.37301786333333,552,202
755.947791295,552,158
532.1529452466667,543,176
96.00274844833334,746,239
94.96497902666667,729,233
164.98816620666665,578,195
344.4609829983333,574,181
150.61207902333334,613,203
980.460685695,541,179
1666.1625070216667,535,167
946.3154067916666,535,169
659.249047985,592,158
140.0318238,610,219
329.80881386,551,195
465.04618660166665,564,173
998.7873773033333,543,170
480.63093471166667,647,151
909.8145337766666,556,150
646.1172784416667,544,159
576.6567098316666,537,176
143.15331245000002,587,196
952.7675681983334,525,166
294.72013813,572,186
206.05316120999998,543,197
252.70753057166664,556,173
176.35965888,578,173
2052.586527165,513,165
134.46035885833334,652,209
456.31739482,585,179
1075.9090570966666,514,165
371.68941283333334,552,170
2076.30889597,528,158
1596.3847331883333,524,165
864.2672511766666,530,156
165.70265041666667,537,199
171.59983751833332,630,224
565.7765532583334,537,166
613.7059160833334,524,172
327.2723581566667,542,172
156.84547212333334,623,200
236.86756857166665,566,181
440.1043132016666,546,194
456.53301344333335,538,169
183.26777413666667,562,199
149.50760591166664,605,179
236.06875207000002,619,186
1816.504817705,590,159
364.6624639283333,537,175
676.39851541,539,165
885.6648046183333,591,163
316.39225872500003,554,195
297.44929743666665,558,199
344.1005375733333,635,149
91.6498263,746,246
931.96903411,519,168
154.69060309,603,209
319.43969693,597,151
393.4209559166667,549,201
277.9676514783333,611,166
802.8334728033333,531,168
384.6762505633333,560,202
1236.9919856400002,522,182
1044.1567305016667,513,176
491.53491813666665,545,164
730.0580455583333,523,168
149.39625327000002,575,271
529.867238065,526,173
188.85288412,544,189
446.04857555333336,541,203
719.2838599466666,561,159
294.6190692166667,549,179
388.7726076116666,584,179
356.990493415,557,195
425.95372927333335,544,203
473.5612718183333,566,163
1140.51950635,537,176
1653.0635019883334,535,188
2074.8903167716667,513,162
1182.4164534000001,526,159
777.3955694283334,530,166
132.15269343833333,684,275
599.1238592983334,544,165
344.44198444,567,201
385.11617572166665,565,183
1065.1558088833333,559,156
214.30488143166667,576,192
91.70662710666667,763,248
414.9743959783333,541,170
389.03593632999997,546,201
340.989005055,566,192
249.08911452833334,571,188
260.19374763,564,174
222.017447495,607,204
438.57376981,568,203
1365.541111361667,554,179
152.25274614166668,662,158
795.8835469516666,569,187
388.2314989083333,558,191
558.44312591,554,180
161.09638733166668,587,262
522.3928035616666,549,178
294.19516804166665,621,190
219.50226228333332,590,196
823.7073185266668,553,164
