Iterations,Avg_StackingTime, ManpowerofForklifts, ManpowerofUnpacking, ManpowerofPacking, Forklifts, Avg_StackingTime_At_Gate,Avg_StackingTime_At_Inbound, Avg_StackingTime_At_Outbound,,
50.00 ,122.73 ,365.00 ,139.00 ,150.00 ,223.00 ,28.11 ,73.00 ,21.62 ,0.34 ,
51.00 ,100.33 ,363.00 ,138.00 ,151.00 ,223.00 ,28.06 ,51.32 ,20.95 ,0.22 ,
52.00 ,109.60 ,366.00 ,137.00 ,150.00 ,223.00 ,28.10 ,61.64 ,19.86 ,0.38 ,
53.00 ,102.74 ,364.00 ,135.00 ,150.00 ,222.00 ,28.20 ,54.36 ,20.18 ,0.37 ,
54.00 ,91.12 ,362.00 ,136.00 ,149.00 ,221.00 ,28.24 ,41.44 ,21.44 ,0.22 ,
55.00 ,143.78 ,362.00 ,136.00 ,149.00 ,221.00 ,28.26 ,64.07 ,51.44 ,0.03 ,
56.00 ,139.08 ,361.00 ,135.00 ,149.00 ,219.00 ,28.15 ,61.91 ,49.02 ,0.45 ,
57.00 ,101.08 ,360.00 ,136.00 ,149.00 ,220.00 ,28.24 ,51.93 ,20.90 ,0.31 ,
58.00 ,111.15 ,360.00 ,136.00 ,148.00 ,221.00 ,28.17 ,61.01 ,21.97 ,0.23 ,
59.00 ,111.52 ,361.00 ,136.00 ,148.00 ,219.00 ,28.10 ,63.93 ,19.48 ,0.24 ,
60.00 ,104.81 ,359.00 ,137.00 ,147.00 ,219.00 ,28.11 ,54.51 ,22.19 ,0.19 ,
61.00 ,119.40 ,355.00 ,137.00 ,149.00 ,220.00 ,28.17 ,68.98 ,22.24 ,0.36 ,
62.00 ,121.24 ,355.00 ,138.00 ,148.00 ,220.00 ,28.13 ,70.26 ,22.85 ,0.18 ,
63.00 ,117.02 ,354.00 ,137.00 ,147.00 ,219.00 ,28.29 ,66.60 ,22.13 ,0.37 ,
64.00 ,105.05 ,355.00 ,136.00 ,147.00 ,219.00 ,28.27 ,58.40 ,18.38 ,0.19 ,
65.00 ,104.65 ,356.00 ,137.00 ,148.00 ,218.00 ,28.74 ,51.95 ,23.96 ,0.45 ,
66.00 ,111.52 ,352.00 ,135.00 ,147.00 ,219.00 ,28.48 ,60.69 ,22.36 ,0.45 ,
67.00 ,147.11 ,352.00 ,134.00 ,146.00 ,219.00 ,28.72 ,62.84 ,55.55 ,0.37 ,
68.00 ,148.08 ,356.00 ,135.00 ,147.00 ,219.00 ,28.23 ,52.51 ,67.34 ,0.51 ,
69.00 ,121.46 ,353.00 ,134.00 ,147.00 ,220.00 ,28.49 ,67.70 ,25.28 ,0.56 ,
70.00 ,116.30 ,352.00 ,134.00 ,146.00 ,219.00 ,28.41 ,65.86 ,22.03 ,0.26 ,
71.00 ,153.10 ,352.00 ,134.00 ,146.00 ,219.00 ,28.41 ,59.78 ,64.91 ,0.08 ,
72.00 ,115.03 ,350.00 ,134.00 ,145.00 ,218.00 ,28.51 ,65.37 ,21.15 ,0.26 ,
73.00 ,90.06 ,350.00 ,133.00 ,146.00 ,219.00 ,28.38 ,39.34 ,22.33 ,0.21 ,
74.00 ,111.91 ,350.00 ,135.00 ,145.00 ,219.00 ,28.16 ,59.44 ,24.30 ,0.42 ,
75.00 ,118.00 ,350.00 ,134.00 ,144.00 ,219.00 ,28.37 ,68.67 ,20.95 ,0.43 ,
76.00 ,106.07 ,349.00 ,134.00 ,144.00 ,218.00 ,28.53 ,59.24 ,18.31 ,0.40 ,
77.00 ,122.40 ,348.00 ,133.00 ,145.00 ,216.00 ,28.71 ,71.52 ,22.17 ,0.60 ,
78.00 ,116.88 ,347.00 ,133.00 ,144.00 ,215.00 ,28.61 ,66.81 ,21.47 ,0.21 ,
79.00 ,153.78 ,344.00 ,133.00 ,145.00 ,216.00 ,28.67 ,58.12 ,66.99 ,0.30 ,
80.00 ,115.80 ,346.00 ,132.00 ,144.00 ,215.00 ,28.81 ,64.37 ,22.62 ,0.18 ,
81.00 ,102.65 ,345.00 ,132.00 ,144.00 ,217.00 ,28.77 ,56.42 ,17.46 ,0.53 ,
82.00 ,109.39 ,346.00 ,131.00 ,143.00 ,216.00 ,28.75 ,62.29 ,18.35 ,0.37 ,
83.00 ,104.18 ,346.00 ,132.00 ,141.00 ,214.00 ,28.54 ,57.16 ,18.47 ,0.44 ,
84.00 ,111.23 ,345.00 ,131.00 ,142.00 ,215.00 ,28.21 ,59.04 ,23.98 ,0.32 ,
85.00 ,109.33 ,345.00 ,131.00 ,142.00 ,213.00 ,28.25 ,63.64 ,17.43 ,0.54 ,
86.00 ,106.64 ,346.00 ,130.00 ,141.00 ,217.00 ,28.32 ,57.53 ,20.79 ,0.57 ,
87.00 ,122.83 ,345.00 ,131.00 ,142.00 ,214.00 ,28.43 ,71.44 ,22.96 ,0.74 ,
88.00 ,116.90 ,343.00 ,129.00 ,142.00 ,213.00 ,28.31 ,56.56 ,32.03 ,0.26 ,
89.00 ,119.92 ,345.00 ,128.00 ,140.00 ,212.00 ,28.27 ,69.81 ,21.84 ,0.43 ,
90.00 ,105.41 ,345.00 ,128.00 ,141.00 ,211.00 ,28.23 ,55.15 ,22.03 ,0.29 ,
91.00 ,107.02 ,342.00 ,131.00 ,142.00 ,211.00 ,28.16 ,61.40 ,17.46 ,0.48 ,
92.00 ,105.87 ,342.00 ,131.00 ,142.00 ,212.00 ,28.27 ,57.28 ,20.32 ,0.12 ,
93.00 ,113.37 ,342.00 ,130.00 ,141.00 ,210.00 ,28.14 ,66.78 ,18.46 ,0.36 ,
94.00 ,105.47 ,342.00 ,129.00 ,140.00 ,210.00 ,28.01 ,57.76 ,19.70 ,0.38 ,
95.00 ,158.46 ,339.00 ,130.00 ,141.00 ,208.00 ,28.12 ,68.38 ,61.95 ,0.33 ,
96.00 ,116.77 ,340.00 ,129.00 ,142.00 ,209.00 ,27.96 ,60.95 ,27.86 ,0.36 ,
97.00 ,106.28 ,338.00 ,129.00 ,141.00 ,209.00 ,27.96 ,60.25 ,18.07 ,0.27 ,
98.00 ,114.37 ,337.00 ,129.00 ,141.00 ,207.00 ,27.95 ,57.89 ,28.53 ,0.29 ,
99.00 ,148.15 ,338.00 ,128.00 ,141.00 ,208.00 ,27.88 ,64.69 ,55.59 ,0.35 ,
100.00 ,111.40 ,338.00 ,127.00 ,141.00 ,208.00 ,27.91 ,63.79 ,19.70 ,0.31 ,
101.00 ,111.23 ,337.00 ,126.00 ,140.00 ,209.00 ,27.97 ,65.11 ,18.15 ,0.38 ,
102.00 ,104.83 ,338.00 ,126.00 ,139.00 ,209.00 ,27.95 ,53.34 ,23.55 ,0.25 ,
103.00 ,112.09 ,337.00 ,128.00 ,138.00 ,209.00 ,28.17 ,61.10 ,22.82 ,0.64 ,
104.00 ,106.77 ,337.00 ,126.00 ,137.00 ,208.00 ,28.10 ,58.57 ,20.09 ,0.32 ,
105.00 ,128.84 ,336.00 ,126.00 ,137.00 ,206.00 ,28.07 ,61.39 ,39.38 ,0.32 ,
106.00 ,97.42 ,338.00 ,125.00 ,136.00 ,206.00 ,28.23 ,49.16 ,20.03 ,0.67 ,
107.00 ,107.69 ,337.00 ,126.00 ,136.00 ,204.00 ,28.43 ,61.28 ,17.99 ,0.47 ,
108.00 ,104.35 ,337.00 ,125.00 ,135.00 ,205.00 ,28.39 ,57.68 ,18.28 ,0.22 ,
109.00 ,113.46 ,337.00 ,125.00 ,134.00 ,206.00 ,28.33 ,63.67 ,21.47 ,0.30 ,
110.00 ,101.98 ,337.00 ,125.00 ,134.00 ,206.00 ,28.19 ,52.51 ,21.29 ,0.56 ,
111.00 ,165.88 ,337.00 ,125.00 ,134.00 ,206.00 ,28.17 ,78.65 ,59.06 ,0.38 ,
112.00 ,118.46 ,335.00 ,124.00 ,133.00 ,208.00 ,28.12 ,71.06 ,19.28 ,0.34 ,
113.00 ,145.91 ,333.00 ,124.00 ,133.00 ,206.00 ,28.28 ,55.95 ,61.68 ,0.38 ,
114.00 ,146.91 ,332.00 ,125.00 ,133.00 ,207.00 ,28.10 ,50.83 ,67.99 ,0.25 ,
115.00 ,110.49 ,333.00 ,125.00 ,134.00 ,208.00 ,28.24 ,63.60 ,18.65 ,0.44 ,
116.00 ,151.24 ,334.00 ,125.00 ,134.00 ,208.00 ,28.20 ,57.67 ,65.38 ,0.17 ,
117.00 ,123.10 ,331.00 ,124.00 ,134.00 ,205.00 ,28.22 ,76.78 ,18.10 ,0.43 ,
118.00 ,124.05 ,332.00 ,124.00 ,134.00 ,205.00 ,28.23 ,64.58 ,31.23 ,0.17 ,
119.00 ,96.62 ,328.00 ,124.00 ,133.00 ,205.00 ,28.25 ,51.44 ,16.93 ,0.38 ,
120.00 ,115.53 ,329.00 ,123.00 ,132.00 ,206.00 ,28.24 ,66.73 ,20.56 ,0.20 ,
121.00 ,163.90 ,329.00 ,124.00 ,132.00 ,205.00 ,28.28 ,66.98 ,68.64 ,0.13 ,
122.00 ,102.81 ,331.00 ,124.00 ,132.00 ,203.00 ,28.23 ,52.38 ,22.21 ,0.36 ,
123.00 ,116.03 ,330.00 ,124.00 ,131.00 ,206.00 ,28.05 ,68.82 ,19.17 ,0.47 ,
124.00 ,113.61 ,331.00 ,123.00 ,131.00 ,208.00 ,27.96 ,60.80 ,24.85 ,0.53 ,
125.00 ,111.54 ,331.00 ,122.00 ,132.00 ,206.00 ,27.88 ,64.35 ,19.31 ,0.56 ,
126.00 ,139.56 ,328.00 ,122.00 ,132.00 ,205.00 ,27.86 ,61.66 ,50.04 ,0.35 ,
127.00 ,98.60 ,330.00 ,123.00 ,133.00 ,205.00 ,27.89 ,50.28 ,20.43 ,0.39 ,
128.00 ,144.81 ,329.00 ,123.00 ,133.00 ,207.00 ,27.95 ,53.68 ,63.19 ,0.40 ,
129.00 ,96.39 ,327.00 ,124.00 ,132.00 ,206.00 ,27.96 ,45.68 ,22.75 ,0.37 ,
130.00 ,109.49 ,326.00 ,123.00 ,132.00 ,206.00 ,27.95 ,60.47 ,21.06 ,0.25 ,
131.00 ,159.46 ,328.00 ,124.00 ,131.00 ,205.00 ,27.99 ,74.14 ,57.34 ,0.29 ,
132.00 ,101.99 ,327.00 ,124.00 ,131.00 ,207.00 ,28.00 ,54.06 ,19.93 ,0.18 ,
133.00 ,118.39 ,328.00 ,122.00 ,132.00 ,205.00 ,28.02 ,64.71 ,25.66 ,0.27 ,
134.00 ,105.74 ,329.00 ,124.00 ,131.00 ,205.00 ,28.02 ,56.07 ,21.65 ,0.40 ,
135.00 ,144.93 ,329.00 ,124.00 ,133.00 ,205.00 ,27.96 ,60.26 ,56.71 ,0.45 ,
136.00 ,150.32 ,330.00 ,125.00 ,133.00 ,205.00 ,27.97 ,66.65 ,55.70 ,0.32 ,
137.00 ,108.96 ,328.00 ,125.00 ,133.00 ,203.00 ,27.95 ,58.46 ,22.55 ,0.30 ,
