Iterations,Avg_StackingTime, ManpowerofForklifts, ManpowerofUnpacking, ManpowerofPacking, Forklifts, Avg_StackingTime_At_Gate,Avg_StackingTime_At_Inbound, Avg_StackingTime_At_Outbound,,
3138.00 ,155.18 ,131.00 ,54.00 ,52.00 ,69.00 ,30.82 ,63.18 ,61.18 ,0.56 ,
3139.00 ,112.22 ,131.00 ,54.00 ,52.00 ,69.00 ,30.82 ,61.51 ,19.89 ,0.25 ,
3140.00 ,109.99 ,131.00 ,54.00 ,52.00 ,70.00 ,30.79 ,58.12 ,21.08 ,0.37 ,
3141.00 ,113.48 ,132.00 ,54.00 ,52.00 ,69.00 ,30.86 ,55.27 ,27.35 ,0.38 ,
3142.00 ,123.90 ,131.00 ,55.00 ,52.00 ,69.00 ,30.79 ,73.34 ,19.77 ,0.51 ,
3143.00 ,110.14 ,131.00 ,55.00 ,52.00 ,69.00 ,30.81 ,60.63 ,18.70 ,0.35 ,
3144.00 ,162.29 ,131.00 ,55.00 ,52.00 ,69.00 ,30.83 ,63.91 ,67.55 ,0.34 ,
3145.00 ,129.85 ,133.00 ,55.00 ,52.00 ,69.00 ,30.77 ,72.79 ,26.29 ,0.34 ,
3146.00 ,119.16 ,132.00 ,55.00 ,52.00 ,69.00 ,30.80 ,69.86 ,18.50 ,0.29 ,
3147.00 ,123.95 ,132.00 ,54.00 ,53.00 ,69.00 ,30.82 ,68.13 ,25.00 ,0.46 ,
3148.00 ,131.22 ,132.00 ,55.00 ,53.00 ,69.00 ,30.83 ,74.86 ,25.53 ,0.39 ,
3149.00 ,119.25 ,132.00 ,55.00 ,52.00 ,68.00 ,30.88 ,56.54 ,31.83 ,0.30 ,
3150.00 ,120.69 ,132.00 ,55.00 ,53.00 ,69.00 ,31.44 ,68.83 ,20.42 ,0.53 ,
3151.00 ,157.63 ,131.00 ,55.00 ,53.00 ,69.00 ,31.37 ,61.65 ,64.61 ,0.25 ,
3152.00 ,111.51 ,132.00 ,55.00 ,53.00 ,69.00 ,31.49 ,57.06 ,22.96 ,0.26 ,
3153.00 ,128.80 ,131.00 ,54.00 ,53.00 ,68.00 ,31.45 ,72.98 ,24.36 ,0.41 ,
3154.00 ,116.37 ,131.00 ,54.00 ,53.00 ,69.00 ,31.48 ,65.05 ,19.84 ,0.27 ,
3155.00 ,112.25 ,131.00 ,54.00 ,52.00 ,69.00 ,31.47 ,57.18 ,23.60 ,0.40 ,
3156.00 ,125.88 ,131.00 ,54.00 ,52.00 ,69.00 ,31.53 ,71.60 ,22.75 ,0.80 ,
3157.00 ,129.23 ,131.00 ,54.00 ,52.00 ,69.00 ,31.51 ,70.40 ,27.32 ,0.15 ,
3158.00 ,124.58 ,131.00 ,54.00 ,52.00 ,69.00 ,31.58 ,66.30 ,26.70 ,0.33 ,
3159.00 ,163.59 ,130.00 ,54.00 ,52.00 ,68.00 ,31.57 ,68.85 ,63.17 ,0.60 ,
3160.00 ,161.30 ,130.00 ,54.00 ,52.00 ,69.00 ,31.58 ,59.97 ,69.75 ,0.34 ,
3161.00 ,111.73 ,130.00 ,54.00 ,53.00 ,68.00 ,31.54 ,53.43 ,26.75 ,0.36 ,
3162.00 ,112.68 ,131.00 ,54.00 ,52.00 ,68.00 ,31.57 ,56.36 ,24.75 ,0.35 ,
3163.00 ,173.35 ,130.00 ,54.00 ,53.00 ,68.00 ,31.83 ,72.13 ,69.40 ,0.77 ,
3164.00 ,139.96 ,129.00 ,54.00 ,53.00 ,68.00 ,31.68 ,58.00 ,50.27 ,0.36 ,
3165.00 ,112.72 ,129.00 ,54.00 ,53.00 ,67.00 ,31.74 ,61.43 ,19.55 ,0.13 ,
3166.00 ,115.01 ,130.00 ,54.00 ,53.00 ,68.00 ,31.69 ,62.93 ,20.39 ,0.35 ,
3167.00 ,114.34 ,129.00 ,54.00 ,53.00 ,68.00 ,31.69 ,60.96 ,21.70 ,0.52 ,
3168.00 ,112.73 ,131.00 ,54.00 ,53.00 ,68.00 ,32.75 ,59.46 ,20.52 ,0.33 ,
3169.00 ,155.37 ,130.00 ,54.00 ,53.00 ,68.00 ,32.68 ,61.19 ,61.50 ,0.51 ,
3170.00 ,121.81 ,129.00 ,54.00 ,53.00 ,68.00 ,32.79 ,68.67 ,20.35 ,0.35 ,
3171.00 ,133.85 ,130.00 ,54.00 ,53.00 ,69.00 ,32.74 ,77.15 ,23.95 ,0.23 ,
3172.00 ,117.73 ,130.00 ,54.00 ,53.00 ,68.00 ,32.66 ,63.23 ,21.84 ,0.41 ,
3173.00 ,124.32 ,129.00 ,54.00 ,53.00 ,68.00 ,31.55 ,71.63 ,21.15 ,0.31 ,
3174.00 ,122.27 ,130.00 ,54.00 ,53.00 ,68.00 ,32.73 ,67.09 ,22.45 ,0.37 ,
3175.00 ,126.36 ,130.00 ,53.00 ,53.00 ,69.00 ,32.69 ,71.09 ,22.59 ,0.39 ,
3176.00 ,118.35 ,130.00 ,53.00 ,53.00 ,68.00 ,32.75 ,62.70 ,22.91 ,0.28 ,
3177.00 ,123.31 ,130.00 ,53.00 ,53.00 ,68.00 ,32.67 ,63.89 ,26.76 ,0.14 ,
3178.00 ,122.46 ,130.00 ,53.00 ,53.00 ,69.00 ,32.68 ,65.43 ,24.35 ,0.12 ,
3179.00 ,118.74 ,130.00 ,54.00 ,53.00 ,69.00 ,32.69 ,61.34 ,24.71 ,0.30 ,
3180.00 ,157.26 ,130.00 ,54.00 ,53.00 ,69.00 ,32.75 ,55.09 ,69.43 ,0.17 ,
3181.00 ,156.66 ,129.00 ,54.00 ,53.00 ,68.00 ,31.88 ,70.56 ,54.21 ,0.27 ,
3182.00 ,171.88 ,130.00 ,54.00 ,53.00 ,68.00 ,32.74 ,76.63 ,62.52 ,0.39 ,
3183.00 ,149.20 ,130.00 ,53.00 ,53.00 ,68.00 ,31.65 ,65.27 ,52.28 ,0.37 ,
3184.00 ,111.42 ,130.00 ,53.00 ,53.00 ,68.00 ,31.58 ,52.00 ,27.84 ,0.33 ,
3185.00 ,110.66 ,130.00 ,53.00 ,53.00 ,68.00 ,31.55 ,56.46 ,22.65 ,0.34 ,
3186.00 ,115.43 ,130.00 ,53.00 ,53.00 ,68.00 ,31.59 ,60.00 ,23.83 ,0.67 ,
3187.00 ,116.04 ,131.00 ,54.00 ,52.00 ,68.00 ,30.96 ,61.12 ,23.96 ,0.55 ,
3188.00 ,120.15 ,131.00 ,54.00 ,53.00 ,68.00 ,31.65 ,60.29 ,28.21 ,0.27 ,
3189.00 ,153.15 ,131.00 ,54.00 ,52.00 ,68.00 ,30.89 ,65.24 ,57.01 ,0.25 ,
3190.00 ,118.57 ,130.00 ,54.00 ,52.00 ,68.00 ,30.95 ,66.50 ,21.13 ,0.27 ,
3191.00 ,115.92 ,131.00 ,54.00 ,52.00 ,68.00 ,30.71 ,65.25 ,19.96 ,0.45 ,
3192.00 ,109.08 ,131.00 ,54.00 ,52.00 ,68.00 ,31.62 ,59.04 ,18.43 ,0.40 ,
3193.00 ,118.38 ,132.00 ,54.00 ,52.00 ,69.00 ,30.08 ,65.51 ,22.79 ,0.28 ,
3194.00 ,122.28 ,132.00 ,54.00 ,52.00 ,68.00 ,30.11 ,68.61 ,23.56 ,0.28 ,
3195.00 ,130.55 ,132.00 ,54.00 ,53.00 ,69.00 ,30.21 ,74.92 ,25.42 ,0.30 ,
3196.00 ,135.03 ,132.00 ,54.00 ,53.00 ,69.00 ,30.18 ,80.45 ,24.40 ,0.05 ,
3197.00 ,123.23 ,131.00 ,54.00 ,52.00 ,69.00 ,30.16 ,68.43 ,24.63 ,0.37 ,
3198.00 ,124.88 ,133.00 ,54.00 ,53.00 ,69.00 ,30.23 ,72.46 ,22.20 ,0.47 ,
3199.00 ,130.06 ,131.00 ,54.00 ,53.00 ,68.00 ,30.11 ,76.34 ,23.61 ,0.51 ,
3200.00 ,122.68 ,131.00 ,54.00 ,53.00 ,67.00 ,30.15 ,70.30 ,22.22 ,0.30 ,
3201.00 ,126.78 ,131.00 ,54.00 ,53.00 ,67.00 ,30.14 ,72.09 ,24.54 ,0.41 ,
3202.00 ,119.85 ,130.00 ,54.00 ,53.00 ,67.00 ,30.12 ,68.83 ,20.90 ,0.23 ,
3203.00 ,115.90 ,129.00 ,54.00 ,52.00 ,67.00 ,30.21 ,62.36 ,23.34 ,0.68 ,
3204.00 ,131.86 ,131.00 ,54.00 ,52.00 ,67.00 ,30.17 ,63.95 ,37.75 ,0.22 ,
3205.00 ,126.56 ,129.00 ,54.00 ,52.00 ,67.00 ,30.19 ,77.87 ,18.50 ,0.27 ,
3206.00 ,132.61 ,130.00 ,53.00 ,52.00 ,68.00 ,30.20 ,74.68 ,27.73 ,0.29 ,
3207.00 ,129.20 ,130.00 ,53.00 ,52.00 ,67.00 ,30.21 ,80.85 ,18.14 ,0.37 ,
3208.00 ,114.57 ,130.00 ,53.00 ,52.00 ,67.00 ,30.22 ,64.48 ,19.87 ,0.22 ,
3209.00 ,131.49 ,131.00 ,53.00 ,52.00 ,67.00 ,30.29 ,75.83 ,25.37 ,0.41 ,
3210.00 ,130.43 ,131.00 ,53.00 ,52.00 ,67.00 ,30.29 ,75.22 ,24.91 ,0.16 ,
3211.00 ,136.67 ,131.00 ,53.00 ,52.00 ,67.00 ,30.34 ,80.01 ,26.32 ,0.30 ,
3212.00 ,125.45 ,132.00 ,53.00 ,52.00 ,67.00 ,30.28 ,69.10 ,26.07 ,0.27 ,
3213.00 ,112.82 ,131.00 ,53.00 ,52.00 ,67.00 ,30.35 ,60.02 ,22.45 ,0.31 ,
3214.00 ,133.30 ,132.00 ,53.00 ,52.00 ,67.00 ,30.30 ,67.37 ,35.64 ,0.23 ,
3215.00 ,117.68 ,131.00 ,53.00 ,52.00 ,67.00 ,30.35 ,62.62 ,24.71 ,0.44 ,
3216.00 ,171.81 ,131.00 ,53.00 ,52.00 ,67.00 ,30.86 ,74.42 ,66.53 ,0.64 ,
3217.00 ,124.68 ,130.00 ,53.00 ,52.00 ,67.00 ,30.81 ,69.90 ,23.98 ,0.23 ,
3218.00 ,128.64 ,130.00 ,53.00 ,52.00 ,67.00 ,30.86 ,75.15 ,22.63 ,0.43 ,
3219.00 ,164.50 ,130.00 ,53.00 ,51.00 ,67.00 ,30.86 ,80.43 ,53.21 ,0.48 ,
3220.00 ,169.61 ,131.00 ,54.00 ,52.00 ,67.00 ,30.86 ,73.67 ,65.08 ,0.49 ,
3221.00 ,130.56 ,131.00 ,53.00 ,52.00 ,67.00 ,30.77 ,66.61 ,33.18 ,0.41 ,
3222.00 ,141.13 ,131.00 ,53.00 ,52.00 ,67.00 ,30.82 ,74.69 ,35.63 ,0.14 ,
3223.00 ,116.95 ,131.00 ,53.00 ,52.00 ,67.00 ,30.73 ,64.29 ,21.92 ,0.21 ,
3224.00 ,134.47 ,131.00 ,53.00 ,52.00 ,67.00 ,30.84 ,75.04 ,28.59 ,0.10 ,
3225.00 ,137.76 ,131.00 ,53.00 ,52.00 ,68.00 ,30.82 ,84.68 ,22.26 ,0.08 ,
3226.00 ,122.71 ,130.00 ,53.00 ,52.00 ,68.00 ,30.85 ,71.48 ,20.38 ,0.27 ,
3227.00 ,122.95 ,131.00 ,53.00 ,52.00 ,68.00 ,30.83 ,71.35 ,20.77 ,0.23 ,
3228.00 ,152.49 ,129.00 ,54.00 ,52.00 ,68.00 ,30.36 ,65.39 ,56.75 ,0.45 ,
3229.00 ,123.01 ,130.00 ,53.00 ,52.00 ,68.00 ,29.84 ,66.42 ,26.75 ,0.49 ,
3230.00 ,152.26 ,129.00 ,53.00 ,52.00 ,68.00 ,29.79 ,67.58 ,54.89 ,0.17 ,
3231.00 ,118.44 ,129.00 ,53.00 ,52.00 ,68.00 ,29.84 ,64.49 ,24.12 ,0.18 ,
3232.00 ,122.71 ,129.00 ,53.00 ,53.00 ,68.00 ,29.82 ,66.59 ,26.30 ,0.41 ,
3233.00 ,150.94 ,129.00 ,53.00 ,53.00 ,68.00 ,29.82 ,64.62 ,56.50 ,0.10 ,
3234.00 ,109.45 ,128.00 ,53.00 ,53.00 ,68.00 ,30.44 ,55.46 ,23.55 ,0.58 ,
3235.00 ,122.51 ,128.00 ,53.00 ,52.00 ,67.00 ,30.44 ,66.93 ,25.14 ,0.28 ,
3236.00 ,122.28 ,128.00 ,53.00 ,53.00 ,68.00 ,30.51 ,65.55 ,26.23 ,0.38 ,
3237.00 ,114.14 ,128.00 ,53.00 ,52.00 ,67.00 ,30.47 ,63.34 ,20.33 ,0.36 ,
3238.00 ,119.43 ,128.00 ,52.00 ,52.00 ,67.00 ,30.49 ,68.92 ,20.02 ,0.40 ,
3239.00 ,159.71 ,129.00 ,53.00 ,52.00 ,67.00 ,30.47 ,69.73 ,59.51 ,0.42 ,
3240.00 ,116.60 ,131.00 ,53.00 ,52.00 ,68.00 ,30.39 ,62.00 ,24.21 ,0.42 ,
3241.00 ,119.72 ,130.00 ,53.00 ,51.00 ,68.00 ,30.49 ,65.07 ,24.16 ,0.33 ,
3242.00 ,154.86 ,128.00 ,53.00 ,52.00 ,67.00 ,31.71 ,68.60 ,54.55 ,0.52 ,
3243.00 ,120.08 ,128.00 ,53.00 ,52.00 ,67.00 ,30.46 ,66.83 ,22.79 ,0.60 ,
3244.00 ,124.13 ,128.00 ,53.00 ,52.00 ,67.00 ,30.52 ,71.53 ,22.08 ,0.29 ,
3245.00 ,118.23 ,128.00 ,53.00 ,52.00 ,68.00 ,30.65 ,63.82 ,23.76 ,0.32 ,
3246.00 ,161.12 ,128.00 ,53.00 ,52.00 ,67.00 ,30.42 ,69.41 ,61.30 ,0.28 ,
3247.00 ,110.34 ,127.00 ,53.00 ,51.00 ,67.00 ,30.42 ,55.31 ,24.60 ,0.52 ,
3248.00 ,129.31 ,128.00 ,53.00 ,51.00 ,67.00 ,30.43 ,70.22 ,28.66 ,0.13 ,
3249.00 ,148.55 ,127.00 ,53.00 ,51.00 ,67.00 ,30.43 ,64.66 ,53.46 ,0.30 ,
3250.00 ,132.75 ,128.00 ,53.00 ,51.00 ,67.00 ,30.16 ,76.51 ,26.08 ,0.28 ,
3251.00 ,168.79 ,128.00 ,53.00 ,51.00 ,67.00 ,30.17 ,84.52 ,54.10 ,0.19 ,
3252.00 ,170.40 ,128.00 ,53.00 ,51.00 ,67.00 ,30.19 ,71.01 ,69.20 ,0.19 ,
3253.00 ,155.62 ,127.00 ,53.00 ,51.00 ,67.00 ,30.19 ,71.91 ,53.52 ,0.50 ,
3254.00 ,118.49 ,128.00 ,53.00 ,51.00 ,66.00 ,30.13 ,66.38 ,21.98 ,0.16 ,
3255.00 ,165.53 ,129.00 ,53.00 ,51.00 ,67.00 ,30.16 ,63.20 ,72.17 ,0.36 ,
3256.00 ,102.16 ,128.00 ,53.00 ,51.00 ,67.00 ,30.19 ,54.28 ,17.70 ,0.24 ,
3257.00 ,173.75 ,127.00 ,53.00 ,51.00 ,66.00 ,30.18 ,80.18 ,63.39 ,0.29 ,
3258.00 ,157.48 ,129.00 ,53.00 ,51.00 ,67.00 ,30.43 ,70.69 ,56.36 ,0.18 ,
3259.00 ,173.90 ,128.00 ,52.00 ,51.00 ,67.00 ,30.18 ,77.89 ,65.83 ,0.46 ,
3260.00 ,128.54 ,128.00 ,53.00 ,51.00 ,67.00 ,30.23 ,72.78 ,25.53 ,0.14 ,
3261.00 ,127.52 ,129.00 ,53.00 ,51.00 ,67.00 ,30.24 ,70.77 ,26.52 ,0.14 ,
3262.00 ,162.96 ,128.00 ,52.00 ,51.00 ,68.00 ,30.42 ,70.16 ,62.38 ,0.45 ,
3263.00 ,116.94 ,129.00 ,52.00 ,51.00 ,68.00 ,30.42 ,62.83 ,23.68 ,0.29 ,
3264.00 ,116.57 ,129.00 ,52.00 ,51.00 ,68.00 ,30.26 ,63.34 ,22.98 ,0.34 ,
3265.00 ,119.68 ,128.00 ,53.00 ,51.00 ,68.00 ,30.26 ,65.61 ,23.80 ,0.27 ,
3266.00 ,128.87 ,128.00 ,53.00 ,51.00 ,67.00 ,30.16 ,73.39 ,25.32 ,0.46 ,
3267.00 ,121.68 ,128.00 ,52.00 ,51.00 ,67.00 ,30.30 ,68.54 ,22.85 ,0.28 ,
3268.00 ,149.24 ,129.00 ,52.00 ,51.00 ,67.00 ,30.32 ,94.66 ,24.26 ,0.23 ,
3269.00 ,130.77 ,129.00 ,52.00 ,51.00 ,67.00 ,30.33 ,74.17 ,26.28 ,0.19 ,
3270.00 ,156.25 ,130.00 ,52.00 ,51.00 ,66.00 ,30.65 ,71.32 ,54.28 ,0.45 ,
3271.00 ,126.03 ,130.00 ,52.00 ,51.00 ,66.00 ,30.68 ,72.89 ,22.47 ,0.23 ,
3272.00 ,122.28 ,129.00 ,52.00 ,51.00 ,66.00 ,30.47 ,73.71 ,18.11 ,0.23 ,
3273.00 ,115.67 ,129.00 ,52.00 ,51.00 ,66.00 ,30.47 ,63.91 ,21.29 ,0.18 ,
3274.00 ,162.02 ,129.00 ,52.00 ,51.00 ,67.00 ,30.66 ,76.07 ,55.28 ,0.46 ,
3275.00 ,127.01 ,129.00 ,53.00 ,51.00 ,68.00 ,30.43 ,70.12 ,26.46 ,0.40 ,
3276.00 ,143.50 ,128.00 ,52.00 ,51.00 ,67.00 ,30.43 ,80.45 ,32.63 ,0.31 ,
3277.00 ,128.28 ,128.00 ,53.00 ,51.00 ,68.00 ,30.51 ,75.36 ,22.41 ,0.34 ,
3278.00 ,115.82 ,129.00 ,52.00 ,51.00 ,66.00 ,30.34 ,66.15 ,19.32 ,0.68 ,
3279.00 ,140.63 ,127.00 ,52.00 ,50.00 ,66.00 ,30.34 ,57.10 ,53.19 ,0.37 ,
3280.00 ,162.33 ,128.00 ,52.00 ,50.00 ,66.00 ,30.74 ,82.13 ,49.46 ,0.26 ,
3281.00 ,125.97 ,127.00 ,52.00 ,51.00 ,66.00 ,30.81 ,72.50 ,22.66 ,0.52 ,
3282.00 ,111.57 ,128.00 ,52.00 ,51.00 ,66.00 ,30.80 ,60.00 ,20.77 ,0.12 ,
3283.00 ,114.79 ,127.00 ,52.00 ,51.00 ,66.00 ,30.70 ,63.88 ,20.22 ,0.38 ,
3284.00 ,157.02 ,127.00 ,53.00 ,51.00 ,66.00 ,30.70 ,75.44 ,50.88 ,0.28 ,
3285.00 ,163.42 ,127.00 ,53.00 ,51.00 ,66.00 ,30.79 ,71.30 ,61.33 ,0.42 ,
3286.00 ,165.41 ,127.00 ,53.00 ,51.00 ,66.00 ,30.33 ,73.61 ,61.46 ,0.46 ,
3287.00 ,121.27 ,127.00 ,52.00 ,51.00 ,67.00 ,30.36 ,66.36 ,24.56 ,0.58 ,
3288.00 ,127.25 ,127.00 ,52.00 ,51.00 ,67.00 ,30.38 ,76.51 ,20.35 ,0.19 ,
3289.00 ,142.44 ,127.00 ,52.00 ,51.00 ,67.00 ,30.43 ,55.27 ,56.73 ,0.18 ,
3290.00 ,130.68 ,126.00 ,52.00 ,51.00 ,66.00 ,32.00 ,74.23 ,24.44 ,0.39 ,
3291.00 ,124.12 ,127.00 ,52.00 ,51.00 ,67.00 ,30.76 ,72.35 ,21.00 ,0.65 ,
3292.00 ,118.31 ,128.00 ,52.00 ,51.00 ,67.00 ,30.72 ,68.39 ,19.19 ,0.47 ,
3293.00 ,126.92 ,127.00 ,52.00 ,51.00 ,66.00 ,30.76 ,74.15 ,22.01 ,0.20 ,
3294.00 ,133.01 ,127.00 ,53.00 ,51.00 ,66.00 ,30.77 ,79.64 ,22.60 ,0.37 ,
3295.00 ,119.86 ,127.00 ,53.00 ,51.00 ,66.00 ,30.80 ,65.23 ,23.83 ,0.16 ,
3296.00 ,168.16 ,127.00 ,52.00 ,51.00 ,66.00 ,30.85 ,74.62 ,62.69 ,0.53 ,
3297.00 ,118.24 ,127.00 ,52.00 ,51.00 ,66.00 ,30.79 ,62.92 ,24.54 ,0.40 ,
3298.00 ,114.89 ,127.00 ,52.00 ,51.00 ,66.00 ,31.71 ,65.72 ,17.46 ,0.42 ,
3299.00 ,116.97 ,127.00 ,52.00 ,51.00 ,66.00 ,31.65 ,64.57 ,20.75 ,0.19 ,
3300.00 ,157.04 ,127.00 ,52.00 ,51.00 ,66.00 ,31.64 ,61.42 ,63.97 ,0.09 ,
3301.00 ,118.57 ,127.00 ,52.00 ,51.00 ,66.00 ,31.69 ,60.03 ,26.85 ,0.37 ,
3302.00 ,119.95 ,126.00 ,52.00 ,51.00 ,66.00 ,31.55 ,64.81 ,23.58 ,0.55 ,
3303.00 ,128.19 ,126.00 ,52.00 ,51.00 ,66.00 ,31.52 ,72.78 ,23.88 ,0.48 ,
3304.00 ,117.32 ,127.00 ,52.00 ,51.00 ,65.00 ,31.74 ,66.60 ,18.98 ,0.71 ,
3305.00 ,116.28 ,127.00 ,52.00 ,51.00 ,66.00 ,31.61 ,61.16 ,23.51 ,0.46 ,
3306.00 ,129.41 ,127.00 ,52.00 ,51.00 ,66.00 ,30.74 ,74.92 ,23.75 ,0.09 ,
3307.00 ,127.11 ,127.00 ,52.00 ,51.00 ,65.00 ,30.80 ,72.53 ,23.78 ,0.33 ,
3308.00 ,120.83 ,127.00 ,52.00 ,51.00 ,66.00 ,30.30 ,61.35 ,29.19 ,0.52 ,
3309.00 ,162.27 ,127.00 ,53.00 ,51.00 ,66.00 ,30.21 ,78.77 ,53.29 ,0.22 ,
3310.00 ,121.40 ,126.00 ,52.00 ,50.00 ,66.00 ,30.19 ,69.19 ,22.02 ,0.29 ,
3311.00 ,152.45 ,127.00 ,52.00 ,51.00 ,66.00 ,30.19 ,73.71 ,48.55 ,0.36 ,
3312.00 ,114.03 ,127.00 ,52.00 ,50.00 ,66.00 ,30.21 ,62.64 ,21.18 ,0.25 ,
3313.00 ,131.65 ,127.00 ,52.00 ,51.00 ,66.00 ,30.26 ,79.22 ,22.18 ,0.19 ,
3314.00 ,126.49 ,127.00 ,52.00 ,51.00 ,65.00 ,30.15 ,75.78 ,20.56 ,0.24 ,
3315.00 ,115.35 ,126.00 ,52.00 ,51.00 ,66.00 ,31.51 ,59.44 ,24.39 ,0.25 ,
3316.00 ,157.80 ,127.00 ,52.00 ,51.00 ,66.00 ,30.98 ,71.25 ,55.57 ,0.59 ,
3317.00 ,130.41 ,127.00 ,52.00 ,50.00 ,66.00 ,31.08 ,73.06 ,26.27 ,0.45 ,
3318.00 ,155.56 ,127.00 ,52.00 ,50.00 ,66.00 ,30.99 ,68.10 ,56.48 ,0.34 ,
3319.00 ,141.49 ,128.00 ,52.00 ,50.00 ,65.00 ,30.98 ,57.48 ,53.04 ,0.29 ,
3320.00 ,172.38 ,126.00 ,52.00 ,51.00 ,65.00 ,31.01 ,74.07 ,67.30 ,0.60 ,
3321.00 ,124.67 ,126.00 ,53.00 ,51.00 ,66.00 ,30.98 ,67.75 ,25.94 ,0.15 ,
3322.00 ,109.35 ,127.00 ,52.00 ,51.00 ,66.00 ,31.03 ,57.52 ,20.79 ,0.22 ,
3323.00 ,167.68 ,126.00 ,53.00 ,51.00 ,65.00 ,31.08 ,64.94 ,71.66 ,0.43 ,
3324.00 ,120.22 ,126.00 ,53.00 ,51.00 ,66.00 ,31.09 ,67.32 ,21.81 ,0.18 ,
3325.00 ,119.78 ,126.00 ,52.00 ,51.00 ,66.00 ,31.07 ,68.37 ,20.34 ,0.30 ,
3326.00 ,115.19 ,127.00 ,53.00 ,50.00 ,66.00 ,30.99 ,59.35 ,24.85 ,0.81 ,
3327.00 ,129.61 ,127.00 ,52.00 ,50.00 ,66.00 ,30.89 ,72.62 ,26.10 ,0.19 ,
3328.00 ,115.24 ,127.00 ,52.00 ,51.00 ,66.00 ,31.01 ,64.22 ,20.01 ,0.57 ,
3329.00 ,127.14 ,127.00 ,52.00 ,51.00 ,65.00 ,30.09 ,75.14 ,21.91 ,0.62 ,
3330.00 ,122.72 ,127.00 ,52.00 ,51.00 ,65.00 ,31.08 ,70.20 ,21.44 ,0.37 ,
3331.00 ,118.01 ,127.00 ,52.00 ,51.00 ,65.00 ,31.00 ,64.31 ,22.70 ,0.12 ,
3332.00 ,164.99 ,127.00 ,52.00 ,51.00 ,66.00 ,30.12 ,83.08 ,51.79 ,0.34 ,
3333.00 ,124.37 ,127.00 ,52.00 ,51.00 ,66.00 ,30.17 ,74.16 ,20.04 ,0.48 ,
3334.00 ,166.96 ,127.00 ,52.00 ,51.00 ,66.00 ,30.25 ,70.05 ,66.66 ,0.17 ,
3335.00 ,164.10 ,126.00 ,52.00 ,51.00 ,66.00 ,30.19 ,81.08 ,52.83 ,0.39 ,
3336.00 ,117.38 ,128.00 ,52.00 ,51.00 ,65.00 ,31.04 ,60.82 ,25.52 ,0.43 ,
3337.00 ,125.51 ,125.00 ,52.00 ,51.00 ,65.00 ,30.91 ,72.47 ,22.12 ,0.50 ,
3338.00 ,141.09 ,125.00 ,52.00 ,51.00 ,65.00 ,31.06 ,74.20 ,35.82 ,0.30 ,
3339.00 ,129.08 ,126.00 ,52.00 ,51.00 ,65.00 ,30.35 ,74.88 ,23.85 ,0.28 ,
3340.00 ,124.91 ,127.00 ,52.00 ,51.00 ,65.00 ,31.22 ,72.63 ,21.07 ,0.68 ,
3341.00 ,126.96 ,127.00 ,52.00 ,51.00 ,65.00 ,31.19 ,67.44 ,28.33 ,0.48 ,
3342.00 ,115.68 ,127.00 ,52.00 ,51.00 ,65.00 ,31.17 ,63.64 ,20.87 ,0.24 ,
3343.00 ,122.36 ,127.00 ,52.00 ,50.00 ,65.00 ,31.26 ,68.98 ,22.12 ,0.47 ,
3344.00 ,113.83 ,128.00 ,52.00 ,51.00 ,65.00 ,31.22 ,56.31 ,26.30 ,0.39 ,
3345.00 ,123.43 ,128.00 ,52.00 ,51.00 ,65.00 ,31.26 ,65.48 ,26.69 ,0.38 ,
3346.00 ,123.19 ,128.00 ,52.00 ,51.00 ,65.00 ,31.25 ,71.98 ,19.96 ,0.40 ,
3347.00 ,125.21 ,127.00 ,51.00 ,51.00 ,65.00 ,31.23 ,68.51 ,25.48 ,0.47 ,
3348.00 ,115.61 ,127.00 ,52.00 ,51.00 ,65.00 ,31.27 ,65.12 ,19.23 ,0.31 ,
3349.00 ,136.41 ,128.00 ,52.00 ,51.00 ,65.00 ,31.27 ,81.98 ,23.17 ,0.36 ,
3350.00 ,134.87 ,128.00 ,52.00 ,51.00 ,65.00 ,31.26 ,72.46 ,31.15 ,0.14 ,
3351.00 ,107.49 ,128.00 ,52.00 ,51.00 ,65.00 ,31.25 ,53.29 ,22.95 ,0.23 ,
3352.00 ,129.05 ,128.00 ,52.00 ,51.00 ,65.00 ,31.91 ,75.93 ,21.21 ,0.28 ,
3353.00 ,116.06 ,128.00 ,52.00 ,51.00 ,65.00 ,31.25 ,60.50 ,24.31 ,0.35 ,
3354.00 ,117.90 ,129.00 ,52.00 ,51.00 ,66.00 ,31.26 ,65.23 ,21.40 ,0.16 ,
3355.00 ,107.16 ,127.00 ,52.00 ,51.00 ,65.00 ,31.08 ,54.52 ,21.56 ,0.39 ,
3356.00 ,122.84 ,128.00 ,52.00 ,51.00 ,65.00 ,31.57 ,63.08 ,28.19 ,0.28 ,
3357.00 ,114.61 ,127.00 ,52.00 ,51.00 ,65.00 ,31.69 ,56.18 ,26.74 ,0.13 ,
3358.00 ,121.33 ,127.00 ,52.00 ,51.00 ,65.00 ,30.78 ,71.41 ,19.15 ,0.39 ,
3359.00 ,117.64 ,127.00 ,52.00 ,51.00 ,65.00 ,31.71 ,64.41 ,21.52 ,0.30 ,
3360.00 ,150.71 ,127.00 ,52.00 ,51.00 ,65.00 ,31.80 ,70.00 ,48.91 ,0.26 ,
3361.00 ,122.83 ,126.00 ,52.00 ,51.00 ,65.00 ,31.73 ,69.08 ,22.03 ,0.23 ,
